    # BLOCK:             PI:          ERROR:
           1         3.63636               0
           2         3.52031        0.116054
           3         3.41354        0.126053
           4         3.36824       0.0999856
           5         3.32951       0.0865911
           6         3.30091       0.0762678
           7         3.26891       0.0719631
           8         3.24677       0.0661378
           9         3.23084       0.0604628
          10         3.21427       0.0565614
          11         3.19984       0.0531575
          12         3.18636       0.0503659
          13         3.17586       0.0475048
          14          3.1664       0.0449859
          15         3.15991       0.0423794
          16         3.15659       0.0397811
          17         3.15231       0.0376116
          18         3.14997       0.0355379
          19         3.14947       0.0336192
          20         3.14585       0.0320996
          21         3.14256       0.0307087
          22         3.13741       0.0297291
          23         3.13258       0.0288149
          24         3.12864       0.0278683
          25         3.12526       0.0269432
          26         3.12236       0.0260482
          27         3.11876       0.0253218
          28         3.11505       0.0246816
          29          3.1118       0.0240359
          30         3.10883       0.0234101
          31         3.10623       0.0227917
          32         3.10439       0.0221439
          33         3.10302       0.0215062
          34         3.10205       0.0208867
          35         3.10201       0.0202812
          36         3.10233       0.0197124
          37         3.10252       0.0191731
          38         3.10276       0.0186632
          39         3.10296       0.0181795
          40         3.10306       0.0177195
          41         3.10349       0.0172873
          42         3.10408       0.0168812
          43         3.10449        0.016489
          44          3.1053       0.0161301
          45         3.10622       0.0157946
          46         3.10707       0.0154708
          47         3.10808       0.0151714
          48         3.10874       0.0148667
          49         3.10914       0.0145657
          50         3.10946        0.014275
          51         3.10937       0.0139925
          52         3.10937       0.0137208
          53         3.10922       0.0134602
          54         3.10895       0.0132114
          55         3.10845       0.0129788
          56         3.10785        0.012759
          57         3.10712       0.0125541
          58         3.10643       0.0123554
          59         3.10579       0.0121608
          60         3.10518        0.011972
          61         3.10478       0.0117809
          62          3.1043       0.0115993
          63         3.10369       0.0114301
          64         3.10321       0.0112602
          65         3.10303        0.011087
          66         3.10291       0.0109184
          67         3.10273       0.0107557
          68         3.10266       0.0105966
          69         3.10254       0.0104426
          70         3.10232       0.0102947
          71         3.10199       0.0101542
          72         3.10157       0.0100208
          73          3.1011      0.00989376
          74         3.10047      0.00977927
          75         3.09993      0.00966333
          76         3.09942      0.00954878
          77         3.09913      0.00942848
          78           3.099      0.00930771
          79         3.09908      0.00918952
          80         3.09943       0.0090804
          81         3.09962      0.00896976
          82         3.09974      0.00886044
          83         3.09988      0.00875419
          84         3.10007      0.00865133
          85         3.10029      0.00855192
          86         3.10049      0.00845423
          87         3.10069      0.00835899
          88         3.10078      0.00826389
          89          3.1009      0.00817146
          90         3.10092      0.00808017
          91         3.10081      0.00799158
          92         3.10071      0.00790494
          93         3.10062         0.00782
          94          3.1005      0.00773726
          95         3.10038      0.00765627
          96         3.10015      0.00757963
          97         3.09994      0.00750414
          98          3.0998      0.00742842
          99         3.09969      0.00735382
         100         3.09953       0.0072816
