Gen:	<L_2>
0	510.106
1	459.689
2	430.168
3	406.248
4	389.518
5	375.075
6	363.934
7	350.586
8	337.383
9	325.692
10	314.493
11	303.225
12	293.071
13	283.049
14	272.822
15	265.041
16	258.125
17	252.49
18	247.437
19	242.434
20	238.506
21	235.262
22	231.546
23	228.428
24	224.865
25	221.258
26	217.168
27	213.771
28	211.35
29	207.948
30	204.693
31	200.919
32	196.919
33	193.442
34	190.248
35	186.102
36	181.856
37	178.437
38	175.748
39	173.808
40	172.017
41	169.709
42	166.999
43	164.859
44	162.698
45	160.308
46	157.453
47	155.733
48	154.246
49	152.717
50	151.399
51	148.257
52	145.103
53	142.822
54	141.2
55	139.603
56	137.486
57	136.646
58	135.61
59	134.523
60	133.188
61	132.012
62	130.998
63	129.72
64	127.794
65	126.728
66	124.784
67	123.272
68	121.997
69	120.893
70	120.188
71	119.044
72	117.676
73	116.015
74	115.137
75	113.927
76	113.089
77	112.246
78	111.37
79	110.201
80	109.344
81	108.739
82	107.958
83	107.604
84	107.036
85	106.775
86	106.201
87	106.013
88	105.643
89	104.966
90	103.879
91	103.77
92	103.644
93	103.389
94	102.652
95	102.047
96	101.951
97	101.314
98	100.56
99	98.9092
100	97.841
101	97.5665
102	97.138
103	97.2764
104	97.4785
105	97.6314
106	96.1854
107	96.3239
108	96.9522
109	96.7301
110	96.9953
111	97.4686
112	97.0243
113	95.4666
114	93.7351
115	92.8412
116	91.8149
117	91.1991
118	90.9159
119	90.7348
120	90.1664
121	90.2727
122	90.3926
123	90.0439
124	89.6252
125	88.7219
126	88.1161
127	87.8511
128	87.4696
129	86.8196
130	85.9996
131	85.9201
132	86.1371
133	85.2218
134	84.6693
135	84.1238
136	84.1603
137	83.9566
138	83.4023
139	83.1695
140	83.5667
141	83.4459
142	83.0727
143	83.1389
144	82.9913
145	82.7356
146	82.7639
147	83.2012
148	82.9214
149	82.4999
150	82.3271
151	82.7109
152	82.1783
153	81.8749
154	81.2976
155	80.9973
156	80.9515
157	80.5787
158	80.5703
159	80.3542
160	79.647
161	79.2837
162	79.056
163	79.2651
164	79.4429
165	78.9423
166	78.6657
167	78.5904
168	79.3404
169	80.6404
170	79.8882
171	78.9167
172	78.3482
173	78.5021
174	78.3728
175	78.3222
176	78.1918
177	78.5185
178	78.3098
179	78.4655
180	78.091
181	78.1406
182	78.4249
183	78.352
184	78.3544
185	78.006
186	77.942
187	78.0469
188	77.7123
189	77.7595
190	77.7638
191	77.7312
192	77.6438
193	77.5809
194	77.8169
195	77.8865
196	77.6671
197	77.834
198	77.801
199	77.9392
200	77.8656
201	77.8438
202	77.635
203	77.7365
204	77.7579
205	77.78
206	77.4264
207	77.3485
208	77.3272
209	77.7703
210	77.1056
211	77.3765
212	77.0947
213	77.3297
214	77.2774
215	77.1034
216	77.0849
217	77.2146
218	77.4079
219	77.4042
220	77.5525
221	77.609
222	77.5947
223	77.4796
224	77.1887
225	77.46
226	77.086
227	76.942
228	76.8118
229	76.9226
230	76.8824
231	77.0135
232	77.0819
233	76.8394
234	77.1434
235	77.2922
236	77.0225
237	76.9097
238	76.5182
239	76.888
240	76.7437
241	76.7936
242	76.9048
243	76.9305
244	76.8345
245	77.0863
246	77.0986
247	76.9768
248	77.2684
249	76.8713
250	76.9764
251	77.1355
252	77.1334
253	76.9846
254	76.9703
255	76.6295
256	76.7635
257	76.9841
258	76.9786
259	77.0525
260	77.0106
261	76.9445
262	76.872
263	77.625
264	77.9407
265	77.614
266	76.8318
267	76.7845
268	76.5048
269	76.6328
270	76.8759
271	76.4682
272	76.4263
273	76.3824
274	76.5695
275	76.4548
276	76.4014
277	76.4617
278	76.6056
279	76.5905
280	76.5607
281	76.4138
282	76.4414
283	77.1102
284	77.8936
285	77.3255
286	76.9164
287	76.626
288	76.2933
289	76.6428
290	76.2412
291	76.1757
292	76.0837
293	76.0733
294	76.094
295	75.9833
296	75.9292
297	75.8264
298	75.8998
299	75.7228
300	76.0824
301	75.9829
302	76.1311
303	75.5858
304	75.7707
305	75.992
306	76.0001
307	76.0531
308	76.0144
309	76.2778
310	75.7573
311	75.7701
312	75.965
313	76.148
314	75.9383
315	75.775
316	75.6362
317	75.6538
318	75.7078
319	75.6876
320	75.5648
