Gen:	<L_2>
0	510.053
1	457.877
2	428.313
3	402.217
4	383.608
5	369.672
6	358.009
7	345.679
8	335.91
9	324.781
10	312.385
11	303.269
12	294.883
13	283.507
14	275.686
15	269.614
16	264.992
17	262.322
18	258.611
19	253.292
20	247.572
21	242.318
22	236.21
23	231.429
24	228.025
25	225.686
26	221.704
27	216.547
28	210.499
29	206.362
30	201.688
31	196.976
32	192.673
33	186.823
34	181.766
35	177.89
36	174.587
37	171.425
38	168.504
39	165.699
40	163.21
41	160.267
42	157.528
43	155.203
44	153.019
45	151.247
46	149.343
47	147.581
48	146.61
49	145.791
50	144.027
51	142.798
52	142.332
53	141.774
54	139.905
55	137.853
56	136.242
57	134.455
58	131.769
59	129.031
60	127.347
61	125.951
62	125.206
63	124.152
64	123.365
65	123.05
66	122.793
67	122.06
68	121.237
69	120.756
70	119.894
71	119.633
72	119.467
73	118.756
74	117.427
75	115.484
76	114.468
77	113.883
78	112.882
79	112.064
80	110.796
81	109.389
82	108.557
83	108.156
84	107.64
85	107.061
86	106.667
87	106.158
88	105.615
89	105.162
90	104.603
91	103.897
92	103.869
93	103.551
94	103.454
95	103.848
96	103.626
97	102.515
98	101.584
99	100.402
100	99.6719
101	99.1076
102	98.0133
103	97.5813
104	96.8495
105	96.4418
106	95.8679
107	95.2098
108	94.8706
109	94.5341
110	94.0016
111	93.3564
112	93.0261
113	93.819
114	94.6776
115	93.722
116	93.0963
117	92.531
118	91.9164
119	91.2328
120	90.8316
121	90.4064
122	89.7703
123	89.6092
124	89.1023
125	88.2748
126	87.8
127	87.4382
128	87.043
129	86.8544
130	87.4892
131	88.4802
132	88.0264
133	87.0731
134	86.7321
135	86.1807
136	85.6218
137	85.3835
138	85.2533
139	85.2739
140	85.7821
141	85.6793
142	85.342
143	85.0839
144	84.1994
145	83.5992
146	83.3613
147	83.124
148	82.9761
149	83.0803
150	83.1628
151	82.3885
152	82.3218
153	82.2785
154	81.8777
155	81.6614
156	81.5772
157	81.442
158	81.0649
159	81.0996
160	81.1407
161	80.8429
162	80.8084
163	80.3729
164	80.0731
165	80.0041
166	79.8799
167	80.8149
168	81.248
169	81.2775
170	80.1449
171	79.6539
172	79.4194
173	78.9325
174	78.7035
175	78.5619
176	78.4751
177	78.5896
178	78.269
179	78.1673
180	78.9236
181	79.1823
182	77.946
183	76.3492
184	76.0524
185	75.4599
186	75.469
187	75.3358
188	75.356
189	75.2283
190	75.2861
191	74.8687
192	74.9949
193	75.074
194	74.858
195	74.6966
196	75.0035
197	74.8382
198	74.8378
199	74.6309
200	74.5262
201	74.6151
202	74.6807
203	74.784
204	74.8658
205	74.7058
206	74.6093
207	74.537
208	74.5779
209	74.5138
210	74.5358
211	74.6666
212	74.4555
213	74.5683
214	74.6136
215	74.8938
216	74.846
217	74.9725
218	74.7256
219	74.5633
220	74.5902
221	74.7711
222	74.744
223	74.7951
224	74.5807
225	74.8985
226	74.5686
227	75.0894
228	74.9977
229	74.6117
230	74.8241
231	74.9986
232	74.9002
233	74.7915
234	74.812
235	74.7109
236	74.6732
237	74.6739
238	74.8809
239	74.7985
240	74.7409
241	74.7858
242	74.8456
243	74.6405
244	74.4625
245	74.6773
246	74.4596
247	74.744
248	74.7843
249	74.7687
250	74.6292
251	74.7265
252	74.6169
253	74.8301
254	74.3532
255	74.3198
256	74.5999
257	74.3659
258	74.6219
259	74.6963
260	74.7352
261	74.4089
262	74.5645
263	74.4135
264	74.4582
265	74.3038
266	74.1948
267	74.1715
268	74.1348
269	73.7274
270	73.5183
271	73.5495
272	73.6666
273	73.6076
274	73.3577
275	73.5421
276	73.6149
277	73.3749
278	73.5165
279	73.5435
280	73.6099
281	73.6187
282	73.5003
283	73.2817
284	73.3891
285	73.5213
286	73.7437
287	73.5408
288	73.4024
289	73.5933
290	73.5393
291	73.5755
292	73.5997
293	73.7048
294	73.6923
295	73.5617
296	73.6651
297	73.4127
298	73.2468
299	73.0959
300	73.2814
301	73.227
302	73.4072
303	73.4316
304	73.775
305	73.4795
306	73.3635
307	73.7908
308	73.4151
309	73.7829
310	73.7121
311	73.4264
312	73.3275
313	73.4525
314	73.5225
315	73.3435
316	73.1522
317	72.8264
318	73.047
319	72.7954
320	72.5692
321	72.3461
322	72.4341
323	72.6845
324	72.6445
325	72.7186
326	72.5767
327	72.6629
328	72.8965
329	72.8097
330	72.4921
331	72.4678
332	72.6086
333	72.701
334	72.6347
335	72.6527
336	72.6217
337	72.5293
338	72.7973
339	72.7573
340	72.6264
341	72.6936
342	72.6683
343	72.3431
344	72.2585
345	71.7196
346	71.7359
347	71.6073
348	71.4007
349	71.8168
350	71.5016
351	71.5572
352	71.4846
353	71.9606
354	71.6614
355	71.5628
356	71.6191
357	71.5854
358	71.3508
359	71.4269
360	71.2777
361	71.5959
362	71.596
363	71.7424
364	71.6235
365	71.48
366	71.4052
367	71.4152
368	71.7518
369	71.617
370	71.5943
371	71.4348
372	71.6375
373	71.9077
374	71.6117
375	71.7218
376	71.2369
377	71.0875
378	71.0196
379	71.0512
380	71.0421
381	71.1731
382	71.135
383	71.3726
384	71.4191
385	71.4167
386	71.2648
387	71.2869
388	71.2101
389	71.0546
390	71.1155
391	70.9396
392	71.2058
393	71.2991
394	71.1383
395	71.0004
396	70.7506
397	70.8991
398	70.8299
399	70.826
400	70.8673
401	71.1825
402	71.172
403	71.5013
404	71.0235
