x	y	z
1.05471	-1.68535	0.217218
-0.391972	-1.81329	0.747225
0.327815	0.393544	-1.9333
-4.77034	-5.61034	-9.47459
-5.34171	5.50093	-6.41919
0.0441451	1.89074	17.9004
0.122992	0.844473	-1.80879
2.58497	-2.98235	9.18823
12.3216	-4.1562	5.187
10.3305	5.9849	7.31177
-0	0	-0
-3.60549	0.7792	1.54704
0	-0	-0
-11.165	8.24691	-1.82488
-0.701555	-0.144681	1.86732
1.94274	0.379309	-0.286163
0.682845	-0.0997445	-1.87717
0.090913	0.234702	11.9974
1.048	1.28854	1.11416
0.0797549	0.00789391	-3.9992
-0.0364787	0.0895123	5.99922
-1.95209	-2.12268	7.46214
-0.776204	-7.27008	16.4482
-4.44446	-12.2076	-5.21745
-5.73555	1.24312	1.24825
-0.603746	1.36129	1.33506
5.84224	21.1465	-1.64173
9.67035	-0.207873	-2.53792
-11.4273	19.7667	-12.4375
3.20304	0.697976	5.02527
-0.47466	-1.81505	-0.693031
0.681667	0.501366	3.90947
4.56083	-3.73361	1.12207
1.74523	2.31071	11.6454
-2.12254	14.9284	9.83051
1.84151	1.97643	7.53011
3.47141	-1.37777	-4.69585
1.27471	3.11819	4.96508
-9.38523	-1.5762	3.07132
-0.948926	2.76134	7.44812
0.375926	1.8315	-0.710137
-0.0589185	0.352358	7.99202
-3.1615	-10.6713	11.4947
4.45821	-4.01546	-0.0214299
2.94022	-3.78492	3.60964
-8.67941	2.85465	4.06434
0.367752	0.669348	1.84844
1.2336	-3.75347	6.95627
-4.3185	-6.52088	11.6116
3.01702	0.364642	-2.6009
6.93153	20.5014	3.95555
0.0861041	-0.864846	15.9764
-3.55061	-8.02806	-4.78993
6.71855	2.07097	-16.5702
0.745058	4.76063	-3.57509
-0.0612401	1.64361	9.86381
-0	-0	-0
9.49417	2.92347	-1.1463
-0.0938425	0.249703	3.9911
-1.98515	-7.21853	2.81992
-0.828197	1.48723	-9.85405
0.410251	0.0210443	-3.97885
-2.73214	-0.0479923	2.92115
0.918786	-6.20747	-18.9901
1.78951	-4.53165	3.50168
-10.1621	14.4546	3.43434
-0.945941	0.565569	-7.92372
-11.7775	0.167308	-2.29397
-10.2235	-9.34253	2.0488
2.93	-2.31252	1.43783
5.41087	4.41728	-3.90001
-0.0783567	3.66088	-1.60992
-6.04931	-10.3588	-0.316361
-13.5857	0.383037	-3.35906
4.52884	6.24145	2.12929
1.2491	-3.77624	0.424025
2.61907	1.73059	-5.11327
-0.273532	0.308156	-1.95709
-15.0509	3.66384	-4.00574
-0.73202	1.67477	0.81196
-1.24441	4.8282	3.33766
0.198164	-5.85822	8.10198
0.370154	-7.89512	-1.23698
-0.127071	-1.59427	1.20089
-10.3942	-2.5017	5.45004
8.78923	3.88825	2.76243
-0.0220731	1.12838	1.65114
0.404984	-1.49547	-7.84854
-0.743863	-5.87935	5.374
1.41709	-0.0379284	1.41083
-1.61665	1.18059	5.6562
-1.00831	-0.249891	-3.86275
0.483927	0.853332	1.74288
1.98817	-4.09594	-3.90774
-11.4993	15.1923	6.07949
-0.485756	1.82189	-3.52771
-1.30759	1.06428	1.07588
-9.88159	4.83621	-8.65825
0.802846	-0.476737	3.88949
-0.237049	1.79861	0.84191
0.37565	0.0749506	1.96297
-1.76063	-2.96521	2.02674
-6.31867	-10.5728	10.2123
-0	0	0
2.65514	4.07108	6.35426
2.67437	4.33891	3.16568
-24.2883	-2.34096	-8.97777
-7.39107	-7.75548	-5.40598
0	0	-0
2.80597	5.62244	-12.5106
4.90155	-2.79833	10.5898
7.6444	2.46574	-5.95678
-0.424563	-1.53388	-1.21117
-0.622244	-0.389844	1.86033
8.25097	-3.68943	4.27897
0.141921	-0.428281	1.94844
-0	-0	-0
-2.29087	-3.20044	-0.713512
15.4362	-9.17666	1.22927
1.71424	-0.37466	-5.73768
1.81499	0.205656	0.814567
3.35359	1.7179	-1.34247
-7.94126	-0.458046	-16.147
5.69536	-3.93343	-4.01136
-0.298992	2.60418	-3.0214
-4.23484	-2.3264	3.55724
-2.31207	-10.9197	-4.40631
-1.64117	2.62101	-2.5371
-4.02017	-2.17001	-6.56729
2.41967	-0.24982	-7.62121
-1.10003	-8.48701	-11.0797
5.12612	-0.399977	-3.09239
-1.67948	0.0763498	3.62953
8.52096	-2.52763	-8.06253
1.23165	-7.22318	3.21073
3.51191	1.85963	-6.94322
0.453238	-1.94708	9.79813
-11.4003	-0.842902	-3.65005
0.728315	2.53898	3.00385
4.16133	3.50808	2.52522
2.70219	13.6141	1.8312
-4.20588	3.49348	-5.84005
1.62203	0.187836	3.65154
2.09303	13.0961	17.5531
3.3671	0.926207	4.87901
-5.97121	7.99397	0.66422
-0	-0	-0
-11.4357	0.765318	-3.55503
0	-0	-0
0.804192	0.392224	13.9714
-2.19552	2.69273	-1.98215
-5.5598	-0.562376	-10.6194
-0.921569	-0.27363	7.94203
0.0175226	0.0325891	5.99989
-0	-0	-0
-0.706659	-2.5	-3.04149
0.729159	-0.104032	11.9774
1.20944	0.16543	-3.80919
1.82498	3.83897	6.7773
-5.36454	-0.147207	10.7331
0.0223823	-0.129886	-13.9994
1.87152	-1.1691	3.33626
-0.158932	-1.41561	11.9151
0.569077	0.0146943	-3.95928
4.44132	-10.3293	-16.5402
-4.56992	-9.32888	6.00732
0.447832	6.15876	-5.08616
0.105878	-2.3191	-3.25739
-4.20658	-9.2987	12.3223
3.9111	-2.57897	-3.74863
9.14024	8.89663	-9.6595
-1.81456	-2.18226	-11.6596
8.13727	-7.99801	3.71706
5.30524	-14.8425	12.3108
-0	-0	-0
-0.220122	-0.216313	-5.99206
-2.24043	-0.723953	3.23363
