#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.172597e+00    1.172597e+00    0.000000e+00
           2    1.188203e+00    1.180400e+00    5.517805e-03
           3    1.170386e+00    1.177062e+00    4.578177e-03
           4    1.193299e+00    1.181121e+00    4.914014e-03
           5    1.198220e+00    1.184541e+00    4.981029e-03
           6    1.190508e+00    1.185536e+00    4.248990e-03
           7    1.244571e+00    1.193969e+00    8.615642e-03
           8    1.210182e+00    1.195996e+00    7.773391e-03
           9    1.187971e+00    1.195104e+00    6.960635e-03
          10    1.185265e+00    1.194120e+00    6.333729e-03
          11    1.202060e+00    1.194842e+00    5.798918e-03
          12    1.203927e+00    1.195599e+00    5.364869e-03
          13    1.229721e+00    1.198224e+00    5.557304e-03
          14    1.239786e+00    1.201193e+00    5.900252e-03
          15    1.200897e+00    1.201173e+00    5.506935e-03
          16    1.186782e+00    1.200273e+00    5.235691e-03
          17    1.198328e+00    1.200159e+00    4.928960e-03
          18    1.192868e+00    1.199754e+00    4.671744e-03
          19    1.191754e+00    1.199333e+00    4.444796e-03
          20    1.219189e+00    1.200326e+00    4.332015e-03
          21    1.212914e+00    1.200925e+00    4.166995e-03
          22    1.203354e+00    1.201035e+00    3.979049e-03
          23    1.220567e+00    1.201885e+00    3.895605e-03
          24    1.229863e+00    1.203050e+00    3.903819e-03
          25    1.224123e+00    1.203893e+00    3.837586e-03
          26    1.216149e+00    1.204365e+00    3.718825e-03
          27    1.200036e+00    1.204204e+00    3.584545e-03
          28    1.141871e+00    1.201978e+00    4.089810e-03
          29    1.202559e+00    1.201998e+00    3.948831e-03
          30    1.189203e+00    1.201572e+00    3.840166e-03
          31    1.226817e+00    1.202386e+00    3.801660e-03
          32    1.204974e+00    1.202467e+00    3.683718e-03
          33    1.202627e+00    1.202472e+00    3.572093e-03
          34    1.252325e+00    1.203938e+00    3.755932e-03
          35    1.250743e+00    1.205275e+00    3.879385e-03
          36    1.234027e+00    1.206074e+00    3.852956e-03
          37    1.232578e+00    1.206790e+00    3.814828e-03
          38    1.245563e+00    1.207811e+00    3.848470e-03
          39    1.201232e+00    1.207642e+00    3.753486e-03
          40    1.216673e+00    1.207868e+00    3.666433e-03
          41    1.248827e+00    1.208867e+00    3.710612e-03
          42    1.235235e+00    1.209495e+00    3.674993e-03
          43    1.250494e+00    1.210448e+00    3.711158e-03
          44    1.236052e+00    1.211030e+00    3.672153e-03
          45    1.232117e+00    1.211499e+00    3.620324e-03
          46    1.298318e+00    1.213386e+00    4.003479e-03
          47    1.264627e+00    1.214476e+00    4.064038e-03
          48    1.248670e+00    1.215189e+00    4.041324e-03
          49    1.240982e+00    1.215715e+00    3.992983e-03
          50    1.243377e+00    1.216268e+00    3.951263e-03
          51    1.251778e+00    1.216964e+00    3.934655e-03
          52    1.229131e+00    1.217198e+00    3.865939e-03
          53    1.234548e+00    1.217526e+00    3.806832e-03
          54    1.235461e+00    1.217858e+00    3.750796e-03
          55    1.252435e+00    1.218487e+00    3.734914e-03
          56    1.233379e+00    1.218753e+00    3.677675e-03
          57    1.233318e+00    1.219008e+00    3.622021e-03
          58    1.218482e+00    1.218999e+00    3.559584e-03
          59    1.212245e+00    1.218885e+00    3.501092e-03
          60    1.215495e+00    1.218828e+00    3.443196e-03
          61    1.203939e+00    1.218584e+00    3.395390e-03
          62    1.226524e+00    1.218712e+00    3.343040e-03
          63    1.236220e+00    1.218990e+00    3.301506e-03
          64    1.218506e+00    1.218982e+00    3.249929e-03
          65    1.213152e+00    1.218893e+00    3.201167e-03
          66    1.252535e+00    1.219402e+00    3.192991e-03
          67    1.264835e+00    1.220081e+00    3.216534e-03
          68    1.296198e+00    1.221200e+00    3.358363e-03
          69    1.267848e+00    1.221876e+00    3.377053e-03
          70    1.209482e+00    1.221699e+00    3.333448e-03
          71    1.258139e+00    1.222212e+00    3.325775e-03
          72    1.259545e+00    1.222731e+00    3.319758e-03
          73    1.259192e+00    1.223230e+00    3.311642e-03
          74    1.216398e+00    1.223138e+00    3.268177e-03
          75    1.206379e+00    1.222914e+00    3.232231e-03
          76    1.190444e+00    1.222487e+00    3.217815e-03
          77    1.189447e+00    1.222058e+00    3.204506e-03
          78    1.215796e+00    1.221978e+00    3.164428e-03
          79    1.207328e+00    1.221792e+00    3.129801e-03
          80    1.180050e+00    1.221271e+00    3.133871e-03
          81    1.222734e+00    1.221289e+00    3.095233e-03
          82    1.262582e+00    1.221792e+00    3.098180e-03
          83    1.221578e+00    1.221790e+00    3.060854e-03
          84    1.223540e+00    1.221810e+00    3.024486e-03
          85    1.206463e+00    1.221630e+00    2.994288e-03
          86    1.208498e+00    1.221477e+00    2.963362e-03
          87    1.180371e+00    1.221005e+00    2.966728e-03
          88    1.186839e+00    1.220616e+00    2.958310e-03
          89    1.183057e+00    1.220194e+00    2.955018e-03
          90    1.186393e+00    1.219819e+00    2.945955e-03
          91    1.188081e+00    1.219470e+00    2.934154e-03
          92    1.197668e+00    1.219233e+00    2.911815e-03
          93    1.232405e+00    1.219375e+00    2.883948e-03
          94    1.217057e+00    1.219350e+00    2.853373e-03
          95    1.225409e+00    1.219414e+00    2.824050e-03
          96    1.205479e+00    1.219269e+00    2.798361e-03
          97    1.196616e+00    1.219035e+00    2.779239e-03
          98    1.193733e+00    1.218777e+00    2.762846e-03
          99    1.201064e+00    1.218598e+00    2.740726e-03
         100    1.180112e+00    1.218213e+00    2.740207e-03
