# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    6.463304e-02    0.000000e+00    0.000000e+00
    1.292661e-01    0.000000e+00    0.000000e+00
    1.938991e-01    0.000000e+00    0.000000e+00
    2.585322e-01    0.000000e+00    0.000000e+00
    3.231652e-01    0.000000e+00    0.000000e+00
    3.877982e-01    0.000000e+00    0.000000e+00
    4.524313e-01    0.000000e+00    0.000000e+00
    5.170643e-01    0.000000e+00    0.000000e+00
    5.816974e-01    0.000000e+00    0.000000e+00
    6.463304e-01    0.000000e+00    0.000000e+00
    7.109634e-01    0.000000e+00    0.000000e+00
    7.755965e-01    0.000000e+00    0.000000e+00
    8.402295e-01    5.288362e-04    3.695065e-04
    9.048626e-01    1.264420e-01    8.648628e-03
    9.694956e-01    1.002498e+00    3.589502e-02
    1.034129e+00    1.816622e+00    7.268434e-02
    1.098762e+00    1.966218e+00    8.322500e-02
    1.163395e+00    1.826864e+00    7.161664e-02
    1.228028e+00    1.592675e+00    6.261184e-02
    1.292661e+00    1.448176e+00    5.470050e-02
    1.357294e+00    1.342500e+00    5.073084e-02
    1.421927e+00    1.265625e+00    4.980563e-02
    1.486560e+00    1.181063e+00    4.686880e-02
    1.551193e+00    1.107044e+00    4.245226e-02
    1.615826e+00    1.083874e+00    4.454529e-02
    1.680459e+00    1.051195e+00    4.305380e-02
    1.745092e+00    1.026092e+00    3.512275e-02
    1.809725e+00    1.019013e+00    3.325110e-02
    1.874358e+00    1.018127e+00    3.004245e-02
    1.938991e+00    1.005815e+00    2.697655e-02
    2.003624e+00    1.005936e+00    2.729215e-02
    2.068257e+00    9.740296e-01    2.884692e-02
    2.132890e+00    9.901054e-01    2.492351e-02
    2.197523e+00    1.012285e+00    2.232266e-02
    2.262156e+00    1.025503e+00    1.804804e-02
    2.326789e+00    1.028657e+00    2.222356e-02
    2.391423e+00    1.041528e+00    2.162198e-02
    2.456056e+00    1.018903e+00    1.946975e-02
    2.520689e+00    1.034308e+00    1.474879e-02
    2.585322e+00    1.021969e+00    1.613760e-02
    2.649955e+00    1.024307e+00    1.651802e-02
    2.714588e+00    1.025712e+00    1.618322e-02
    2.779221e+00    1.038476e+00    1.660204e-02
    2.843854e+00    1.012585e+00    2.098624e-02
    2.908487e+00    1.025715e+00    2.517850e-02
    2.973120e+00    1.024031e+00    4.094112e-02
    3.037753e+00    1.026743e+00    6.039548e-02
    3.102386e+00    1.016146e+00    2.757073e-02
    3.167019e+00    9.956964e-01    1.809997e-02
    3.231652e+00    9.819799e-01    1.553589e-02
    3.296285e+00    9.777598e-01    1.121396e-02
    3.360918e+00    9.960146e-01    1.170163e-02
    3.425551e+00    9.996344e-01    1.241617e-02
    3.490184e+00    9.789001e-01    1.135486e-02
    3.554817e+00    9.742406e-01    1.559101e-02
    3.619450e+00    9.833287e-01    1.773902e-02
    3.684083e+00    9.855546e-01    1.713294e-02
    3.748716e+00    9.868130e-01    1.460803e-02
    3.813349e+00    1.009572e+00    1.482624e-02
    3.877982e+00    9.918429e-01    1.554175e-02
    3.942615e+00    9.858290e-01    1.535881e-02
    4.007249e+00    9.816499e-01    1.309884e-02
    4.071882e+00    9.888592e-01    1.204706e-02
    4.136515e+00    9.869299e-01    1.120390e-02
    4.201148e+00    9.963333e-01    9.584865e-03
    4.265781e+00    9.949485e-01    1.040105e-02
    4.330414e+00    9.937296e-01    1.015139e-02
    4.395047e+00    9.940549e-01    1.097582e-02
    4.459680e+00    9.828910e-01    1.139995e-02
    4.524313e+00    9.738368e-01    1.059051e-02
    4.588946e+00    9.712009e-01    9.437653e-03
    4.653579e+00    9.728857e-01    1.000648e-02
    4.718212e+00    9.717897e-01    1.031383e-02
    4.782845e+00    9.898731e-01    9.742678e-03
    4.847478e+00    9.849855e-01    8.658075e-03
    4.912111e+00    9.908047e-01    8.187932e-03
    4.976744e+00    9.953325e-01    6.782434e-03
    5.041377e+00    9.887686e-01    7.743465e-03
    5.106010e+00    1.001603e+00    1.221315e-02
    5.170643e+00    1.005135e+00    1.752071e-02
    5.235276e+00    1.033444e+00    4.081854e-02
    5.299909e+00    1.016939e+00    1.950060e-02
    5.364542e+00    9.979659e-01    1.054574e-02
    5.429175e+00    9.926349e-01    7.698059e-03
    5.493808e+00    9.996543e-01    7.444158e-03
    5.558442e+00    9.909927e-01    6.864933e-03
    5.623075e+00    9.911877e-01    7.976358e-03
    5.687708e+00    9.833285e-01    7.487176e-03
    5.752341e+00    9.937795e-01    7.819697e-03
    5.816974e+00    9.918056e-01    6.662081e-03
    5.881607e+00    9.810602e-01    5.481771e-03
    5.946240e+00    9.812268e-01    6.337049e-03
    6.010873e+00    9.877232e-01    6.952302e-03
    6.075506e+00    9.866357e-01    1.145476e-02
    6.140139e+00    9.810164e-01    6.398344e-03
    6.204772e+00    9.955084e-01    7.638449e-03
    6.269405e+00    1.000072e+00    6.977138e-03
    6.334038e+00    9.833721e-01    8.126007e-03
    6.398671e+00    9.890915e-01    7.247123e-03
