#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.522117e+00    1.522117e+00    0.000000e+00
           2    1.705666e+00    1.613892e+00    6.489432e-02
           3    1.793192e+00    1.673658e+00    6.521538e-02
           4    1.792113e+00    1.703272e+00    5.522744e-02
           5    1.779628e+00    1.718543e+00    4.624516e-02
           6    1.800775e+00    1.732249e+00    4.051764e-02
           7    1.772045e+00    1.737934e+00    3.512600e-02
           8    1.742644e+00    1.738523e+00    3.074019e-02
           9    1.747004e+00    1.739465e+00    2.733905e-02
          10    1.781342e+00    1.743653e+00    2.492382e-02
          11    1.861952e+00    1.754407e+00    2.487028e-02
          12    1.790170e+00    1.757387e+00    2.297562e-02
          13    1.818509e+00    1.762089e+00    2.168399e-02
          14    1.806120e+00    1.765234e+00    2.036194e-02
          15    1.840238e+00    1.770234e+00    1.960883e-02
          16    1.874721e+00    1.776765e+00    1.944032e-02
          17    1.820372e+00    1.779330e+00    1.846523e-02
          18    1.822814e+00    1.781746e+00    1.759670e-02
          19    1.813440e+00    1.783414e+00    1.674944e-02
          20    1.828039e+00    1.785645e+00    1.605990e-02
          21    1.823185e+00    1.787433e+00    1.539430e-02
          22    1.808177e+00    1.788376e+00    1.472341e-02
          23    1.808218e+00    1.789238e+00    1.410852e-02
          24    1.843605e+00    1.791504e+00    1.370131e-02
          25    1.856143e+00    1.794089e+00    1.339500e-02
          26    1.845923e+00    1.796083e+00    1.302732e-02
          27    1.824967e+00    1.797153e+00    1.258867e-02
          28    1.833850e+00    1.798463e+00    1.220711e-02
          29    1.816103e+00    1.799071e+00    1.180132e-02
          30    1.814237e+00    1.799577e+00    1.141877e-02
