#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -9.672204e-02   -9.672204e-02    0.000000e+00
           2   -2.804725e-01   -1.885973e-01    6.496561e-02
           3   -3.679992e-01   -2.483979e-01    6.526768e-02
           4   -3.670073e-01   -2.780503e-01    5.527769e-02
           5   -3.544647e-01   -2.933332e-01    4.628663e-02
           6   -3.756321e-01   -3.070497e-01    4.055366e-02
           7   -3.468988e-01   -3.127424e-01    3.515757e-02
           8   -3.174609e-01   -3.133322e-01    3.076782e-02
           9   -3.218463e-01   -3.142782e-01    2.736371e-02
          10   -3.563459e-01   -3.184850e-01    2.494861e-02
          11   -4.369263e-01   -3.292524e-01    2.489587e-02
          12   -3.650972e-01   -3.322394e-01    2.299972e-02
          13   -3.935031e-01   -3.369520e-01    2.170794e-02
          14   -3.811015e-01   -3.401056e-01    2.038514e-02
          15   -4.153333e-01   -3.451207e-01    1.963337e-02
          16   -4.498452e-01   -3.516660e-01    1.946675e-02
          17   -3.953771e-01   -3.542373e-01    1.849068e-02
          18   -3.976916e-01   -3.566514e-01    1.762030e-02
          19   -3.882967e-01   -3.583169e-01    1.677145e-02
          20   -4.028910e-01   -3.605456e-01    1.608028e-02
          21   -3.980018e-01   -3.623293e-01    1.541316e-02
          22   -3.830377e-01   -3.632706e-01    1.474127e-02
          23   -3.830752e-01   -3.641316e-01    1.412547e-02
          24   -4.184012e-01   -3.663929e-01    1.371671e-02
          25   -4.310553e-01   -3.689794e-01    1.340969e-02
          26   -4.207956e-01   -3.709723e-01    1.304118e-02
          27   -3.998058e-01   -3.720402e-01    1.260182e-02
          28   -4.086793e-01   -3.733487e-01    1.221951e-02
          29   -3.909554e-01   -3.739559e-01    1.181322e-02
          30   -3.891190e-01   -3.744613e-01    1.143025e-02
