#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    4.659546e-02    4.659546e-02    0.000000e+00
           2    4.829078e-02    4.744312e-02    5.993855e-04
           3    4.814745e-02    4.767790e-02    4.431912e-04
           4    5.179819e-02    4.870797e-02    9.519840e-04
           5    4.778638e-02    4.852365e-02    7.792261e-04
           6    5.089051e-02    4.891813e-02    7.425215e-04
           7    4.975403e-02    4.903754e-02    6.459780e-04
           8    4.698131e-02    4.878052e-02    6.142409e-04
           9    5.217275e-02    4.915743e-02    6.514498e-04
          10    4.730456e-02    4.897214e-02    6.120878e-04
          11    5.008106e-02    4.907295e-02    5.646841e-04
          12    4.795415e-02    4.897972e-02    5.252675e-04
          13    4.816516e-02    4.891706e-02    4.885853e-04
          14    5.015003e-02    4.900513e-02    4.615555e-04
          15    5.266896e-02    4.924939e-02    4.911814e-04
          16    5.459544e-02    4.958351e-02    5.627686e-04
          17    5.101145e-02    4.966751e-02    5.358964e-04
          18    5.214141e-02    4.980495e-02    5.234519e-04
          19    4.879514e-02    4.975180e-02    4.985927e-04
          20    5.071306e-02    4.979986e-02    4.759740e-04
          21    4.970588e-02    4.979539e-02    4.533296e-04
          22    5.092644e-02    4.984680e-02    4.356292e-04
          23    4.689525e-02    4.971847e-02    4.351801e-04
          24    5.309965e-02    4.985935e-02    4.392602e-04
          25    5.010923e-02    4.986935e-02    4.218035e-04
          26    4.707719e-02    4.976196e-02    4.190281e-04
          27    5.040462e-02    4.978576e-02    4.041840e-04
          28    5.064784e-02    4.981655e-02    3.909198e-04
          29    4.967414e-02    4.981164e-02    3.774706e-04
          30    5.173346e-02    4.987570e-02    3.702843e-04
