#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.014745e+00    1.014745e+00    0.000000e+00
           2    1.137111e+00    1.075928e+00    4.326288e-02
           3    1.195461e+00    1.115772e+00    4.347692e-02
           4    1.194742e+00    1.135515e+00    3.681829e-02
           5    1.186419e+00    1.145696e+00    3.083011e-02
           6    1.200517e+00    1.154832e+00    2.701176e-02
           7    1.181363e+00    1.158623e+00    2.341734e-02
           8    1.161763e+00    1.159015e+00    2.049346e-02
           9    1.164669e+00    1.159643e+00    1.822603e-02
          10    1.187562e+00    1.162435e+00    1.661588e-02
          11    1.241302e+00    1.169605e+00    1.658019e-02
          12    1.193446e+00    1.171592e+00    1.531708e-02
          13    1.212339e+00    1.174726e+00    1.445600e-02
          14    1.204080e+00    1.176823e+00    1.357463e-02
          15    1.226826e+00    1.180156e+00    1.307255e-02
          16    1.249814e+00    1.184510e+00    1.296021e-02
          17    1.213581e+00    1.186220e+00    1.231015e-02
          18    1.215209e+00    1.187830e+00    1.173113e-02
          19    1.208960e+00    1.188943e+00    1.116629e-02
          20    1.218693e+00    1.190430e+00    1.070660e-02
          21    1.215457e+00    1.191622e+00    1.026287e-02
          22    1.205451e+00    1.192250e+00    9.815608e-03
          23    1.205479e+00    1.192826e+00    9.405678e-03
          24    1.229070e+00    1.194336e+00    9.134207e-03
          25    1.237429e+00    1.196059e+00    8.929998e-03
          26    1.230616e+00    1.197389e+00    8.684879e-03
          27    1.216644e+00    1.198102e+00    8.392448e-03
          28    1.222567e+00    1.198975e+00    8.138076e-03
          29    1.210735e+00    1.199381e+00    7.867549e-03
          30    1.209491e+00    1.199718e+00    7.612511e-03
