# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.564964e-02    0.000000e+00    0.000000e+00
    5.129928e-02    0.000000e+00    0.000000e+00
    7.694892e-02    0.000000e+00    0.000000e+00
    1.025986e-01    0.000000e+00    0.000000e+00
    1.282482e-01    0.000000e+00    0.000000e+00
    1.538978e-01    0.000000e+00    0.000000e+00
    1.795475e-01    0.000000e+00    0.000000e+00
    2.051971e-01    0.000000e+00    0.000000e+00
    2.308468e-01    0.000000e+00    0.000000e+00
    2.564964e-01    0.000000e+00    0.000000e+00
    2.821460e-01    0.000000e+00    0.000000e+00
    3.077957e-01    0.000000e+00    0.000000e+00
    3.334453e-01    0.000000e+00    0.000000e+00
    3.590949e-01    0.000000e+00    0.000000e+00
    3.847446e-01    0.000000e+00    0.000000e+00
    4.103942e-01    0.000000e+00    0.000000e+00
    4.360439e-01    0.000000e+00    0.000000e+00
    4.616935e-01    0.000000e+00    0.000000e+00
    4.873431e-01    0.000000e+00    0.000000e+00
    5.129928e-01    0.000000e+00    0.000000e+00
    5.386424e-01    0.000000e+00    0.000000e+00
    5.642921e-01    0.000000e+00    0.000000e+00
    5.899417e-01    0.000000e+00    0.000000e+00
    6.155913e-01    0.000000e+00    0.000000e+00
    6.412410e-01    0.000000e+00    0.000000e+00
    6.668906e-01    0.000000e+00    0.000000e+00
    6.925403e-01    0.000000e+00    0.000000e+00
    7.181899e-01    0.000000e+00    0.000000e+00
    7.438395e-01    0.000000e+00    0.000000e+00
    7.694892e-01    0.000000e+00    0.000000e+00
    7.951388e-01    0.000000e+00    0.000000e+00
    8.207885e-01    0.000000e+00    0.000000e+00
    8.464381e-01    3.404151e-06    3.387087e-06
    8.720877e-01    1.134852e-03    1.289973e-04
    8.977374e-01    2.537597e-02    6.554442e-04
    9.233870e-01    1.712749e-01    1.764602e-03
    9.490367e-01    5.777642e-01    2.960059e-03
    9.746863e-01    1.216203e+00    4.733141e-03
    1.000336e+00    1.887018e+00    6.363328e-03
    1.025986e+00    2.358050e+00    7.379374e-03
    1.051635e+00    2.563863e+00    7.427284e-03
    1.077285e+00    2.547605e+00    6.596073e-03
    1.102934e+00    2.401974e+00    5.968276e-03
    1.128584e+00    2.188544e+00    6.452332e-03
    1.154234e+00    1.953941e+00    5.974845e-03
    1.179883e+00    1.737695e+00    5.840640e-03
    1.205533e+00    1.539975e+00    5.836301e-03
    1.231183e+00    1.370450e+00    5.373884e-03
    1.256832e+00    1.236072e+00    4.925716e-03
    1.282482e+00    1.113689e+00    3.978052e-03
    1.308132e+00    1.022346e+00    4.033614e-03
    1.333781e+00    9.449566e-01    3.829172e-03
    1.359431e+00    8.743617e-01    3.501703e-03
    1.385081e+00    8.191725e-01    3.474831e-03
    1.410730e+00    7.724344e-01    3.034961e-03
    1.436380e+00    7.373318e-01    3.636206e-03
    1.462029e+00    7.074893e-01    2.908647e-03
    1.487679e+00    6.914743e-01    2.945675e-03
    1.513329e+00    6.779420e-01    3.012740e-03
    1.538978e+00    6.715222e-01    3.152619e-03
    1.564628e+00    6.711786e-01    3.030250e-03
    1.590278e+00    6.771024e-01    3.277127e-03
    1.615927e+00    6.862555e-01    2.894461e-03
    1.641577e+00    7.044513e-01    2.778498e-03
    1.667227e+00    7.305211e-01    2.560888e-03
    1.692876e+00    7.566797e-01    2.426410e-03
    1.718526e+00    7.843930e-01    2.704101e-03
    1.744175e+00    8.184167e-01    2.485113e-03
    1.769825e+00    8.591048e-01    2.718292e-03
    1.795475e+00    8.965106e-01    2.675971e-03
    1.821124e+00    9.339071e-01    2.735146e-03
    1.846774e+00    9.759623e-01    2.749159e-03
    1.872424e+00    1.016005e+00    3.103490e-03
    1.898073e+00    1.063640e+00    2.918455e-03
    1.923723e+00    1.099476e+00    2.807223e-03
    1.949373e+00    1.136982e+00    2.891574e-03
    1.975022e+00    1.170933e+00    2.992700e-03
    2.000672e+00    1.193074e+00    3.137597e-03
    2.026321e+00    1.208093e+00    2.784885e-03
    2.051971e+00    1.216673e+00    2.744660e-03
    2.077621e+00    1.216745e+00    3.335105e-03
    2.103270e+00    1.203031e+00    2.602434e-03
    2.128920e+00    1.189773e+00    2.793523e-03
    2.154570e+00    1.169799e+00    3.006715e-03
    2.180219e+00    1.144915e+00    2.492226e-03
    2.205869e+00    1.120917e+00    2.493771e-03
    2.231519e+00    1.088224e+00    2.541027e-03
    2.257168e+00    1.056714e+00    2.390894e-03
    2.282818e+00    1.031977e+00    2.392836e-03
    2.308468e+00    1.005657e+00    2.530048e-03
    2.334117e+00    9.823639e-01    2.331481e-03
    2.359767e+00    9.607514e-01    2.614187e-03
    2.385416e+00    9.413331e-01    2.236497e-03
    2.411066e+00    9.250364e-01    2.153880e-03
    2.436716e+00    9.116879e-01    2.527784e-03
    2.462365e+00    9.027233e-01    2.312838e-03
    2.488015e+00    8.961686e-01    2.319674e-03
    2.513665e+00    8.914837e-01    2.199380e-03
    2.539314e+00    8.904538e-01    2.039803e-03
