#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.667813e+00    1.667813e+00    0.000000e+00
           2    1.653529e+00    1.660671e+00    5.050250e-03
           3    1.674923e+00    1.665421e+00    5.136277e-03
           4    1.684997e+00    1.670315e+00    5.727370e-03
           5    1.668425e+00    1.669937e+00    4.594359e-03
           6    1.641802e+00    1.665248e+00    5.742988e-03
           7    1.664210e+00    1.665100e+00    4.924476e-03
           8    1.667999e+00    1.665462e+00    4.322233e-03
           9    1.618759e+00    1.660273e+00    6.220705e-03
          10    1.661865e+00    1.660432e+00    5.600672e-03
          11    1.671661e+00    1.661453e+00    5.183719e-03
          12    1.667460e+00    1.661954e+00    4.775854e-03
          13    1.654158e+00    1.661354e+00    4.445964e-03
          14    1.637039e+00    1.659617e+00    4.454738e-03
          15    1.666881e+00    1.660101e+00    4.183993e-03
          16    1.645002e+00    1.659158e+00    4.027510e-03
          17    1.620765e+00    1.656899e+00    4.378228e-03
          18    1.648442e+00    1.656430e+00    4.160127e-03
          19    1.668462e+00    1.657063e+00    3.989086e-03
          20    1.623074e+00    1.655363e+00    4.135827e-03
          21    1.667805e+00    1.655956e+00    3.981089e-03
          22    1.648081e+00    1.655598e+00    3.816187e-03
          23    1.637894e+00    1.654828e+00    3.727088e-03
          24    1.671234e+00    1.655512e+00    3.633942e-03
          25    1.635727e+00    1.654720e+00    3.573720e-03
          26    1.636324e+00    1.654013e+00    3.505612e-03
          27    1.657939e+00    1.654158e+00    3.378789e-03
          28    1.639067e+00    1.653619e+00    3.300825e-03
          29    1.653235e+00    1.653606e+00    3.187031e-03
          30    1.620424e+00    1.652500e+00    3.267090e-03
          31    1.646490e+00    1.652306e+00    3.167447e-03
          32    1.668070e+00    1.652799e+00    3.106538e-03
          33    1.641229e+00    1.652448e+00    3.032121e-03
          34    1.660208e+00    1.652676e+00    2.951518e-03
          35    1.632502e+00    1.652100e+00    2.922929e-03
          36    1.665871e+00    1.652482e+00    2.866658e-03
          37    1.667225e+00    1.652881e+00    2.816735e-03
          38    1.669455e+00    1.653317e+00    2.776174e-03
          39    1.673647e+00    1.653838e+00    2.753495e-03
          40    1.662471e+00    1.654054e+00    2.693103e-03
          41    1.607129e+00    1.652910e+00    2.860298e-03
          42    1.650559e+00    1.652854e+00    2.792743e-03
          43    1.640611e+00    1.652569e+00    2.742270e-03
          44    1.649607e+00    1.652502e+00    2.680771e-03
          45    1.646761e+00    1.652374e+00    2.624233e-03
          46    1.642318e+00    1.652155e+00    2.576273e-03
          47    1.637197e+00    1.651837e+00    2.541042e-03
          48    1.694257e+00    1.652721e+00    2.637311e-03
          49    1.643071e+00    1.652524e+00    2.590831e-03
          50    1.614700e+00    1.651768e+00    2.647149e-03
          51    1.653672e+00    1.651805e+00    2.595508e-03
          52    1.635371e+00    1.651489e+00    2.564763e-03
          53    1.647286e+00    1.651410e+00    2.517597e-03
          54    1.661944e+00    1.651605e+00    2.478522e-03
          55    1.670080e+00    1.651941e+00    2.456116e-03
          56    1.654956e+00    1.651994e+00    2.412847e-03
          57    1.659302e+00    1.652123e+00    2.373920e-03
          58    1.631092e+00    1.651760e+00    2.360521e-03
          59    1.647297e+00    1.651684e+00    2.321724e-03
          60    1.657761e+00    1.651786e+00    2.285236e-03
          61    1.658692e+00    1.651899e+00    2.250576e-03
          62    1.690558e+00    1.652522e+00    2.299033e-03
          63    1.648413e+00    1.652457e+00    2.263466e-03
          64    1.642124e+00    1.652296e+00    2.233850e-03
          65    1.634154e+00    1.652017e+00    2.216851e-03
          66    1.643054e+00    1.651881e+00    2.187418e-03
          67    1.629553e+00    1.651548e+00    2.180008e-03
          68    1.661124e+00    1.651688e+00    2.152493e-03
          69    1.649564e+00    1.651658e+00    2.121518e-03
          70    1.611744e+00    1.651087e+00    2.166479e-03
          71    1.621530e+00    1.650671e+00    2.175594e-03
          72    1.622756e+00    1.650283e+00    2.179650e-03
          73    1.665308e+00    1.650489e+00    2.159487e-03
          74    1.608005e+00    1.649915e+00    2.205301e-03
          75    1.650397e+00    1.649921e+00    2.175907e-03
          76    1.654025e+00    1.649975e+00    2.147946e-03
          77    1.633212e+00    1.649758e+00    2.131056e-03
          78    1.645091e+00    1.649698e+00    2.104574e-03
          79    1.643100e+00    1.649614e+00    2.079591e-03
          80    1.649035e+00    1.649607e+00    2.053609e-03
          81    1.679491e+00    1.649976e+00    2.061130e-03
          82    1.677528e+00    1.650312e+00    2.063198e-03
          83    1.672441e+00    1.650579e+00    2.055495e-03
          84    1.640203e+00    1.650455e+00    2.034733e-03
          85    1.670452e+00    1.650690e+00    2.024350e-03
          86    1.662969e+00    1.650833e+00    2.005839e-03
          87    1.641378e+00    1.650725e+00    1.985726e-03
          88    1.640963e+00    1.650614e+00    1.966256e-03
          89    1.642572e+00    1.650523e+00    1.946239e-03
          90    1.637948e+00    1.650384e+00    1.929623e-03
          91    1.660457e+00    1.650494e+00    1.911591e-03
          92    1.630681e+00    1.650279e+00    1.902906e-03
          93    1.610639e+00    1.649853e+00    1.929592e-03
          94    1.656871e+00    1.649927e+00    1.910508e-03
          95    1.668193e+00    1.650120e+00    1.900049e-03
          96    1.661113e+00    1.650234e+00    1.883704e-03
          97    1.666353e+00    1.650400e+00    1.871600e-03
          98    1.611967e+00    1.650008e+00    1.893145e-03
          99    1.667832e+00    1.650188e+00    1.882564e-03
         100    1.653979e+00    1.650226e+00    1.864120e-03
