#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.369072e+00   -3.369072e+00    0.000000e+00
           2   -3.368683e+00   -3.368877e+00    1.376907e-04
           3   -3.368533e+00   -3.368763e+00    1.310985e-04
           4   -3.369474e+00   -3.368941e+00    1.827491e-04
           5   -3.368320e+00   -3.368816e+00    1.835565e-04
           6   -3.370127e+00   -3.369035e+00    2.513194e-04
           7   -3.369003e+00   -3.369030e+00    2.154576e-04
           8   -3.368715e+00   -3.368991e+00    1.920959e-04
           9   -3.366800e+00   -3.368748e+00    2.860399e-04
          10   -3.367275e+00   -3.368600e+00    2.928767e-04
          11   -3.366913e+00   -3.368447e+00    3.037703e-04
          12   -3.368764e+00   -3.368473e+00    2.796044e-04
          13   -3.369135e+00   -3.368524e+00    2.626811e-04
          14   -3.368580e+00   -3.368528e+00    2.439483e-04
          15   -3.368551e+00   -3.368530e+00    2.276899e-04
          16   -3.368482e+00   -3.368527e+00    2.134786e-04
          17   -3.368498e+00   -3.368525e+00    2.009279e-04
          18   -3.367101e+00   -3.368446e+00    2.047583e-04
          19   -3.368980e+00   -3.368474e+00    1.959015e-04
          20   -3.368612e+00   -3.368481e+00    1.862276e-04
          21   -3.367385e+00   -3.368429e+00    1.845248e-04
          22   -3.366907e+00   -3.368360e+00    1.886518e-04
          23   -3.368177e+00   -3.368352e+00    1.806170e-04
          24   -3.368579e+00   -3.368361e+00    1.733400e-04
          25   -3.368091e+00   -3.368350e+00    1.667438e-04
          26   -3.367593e+00   -3.368321e+00    1.628540e-04
          27   -3.368119e+00   -3.368314e+00    1.569938e-04
          28   -3.370970e+00   -3.368409e+00    1.777552e-04
          29   -3.367712e+00   -3.368385e+00    1.732422e-04
          30   -3.367174e+00   -3.368344e+00    1.721004e-04
          31   -3.369784e+00   -3.368391e+00    1.726994e-04
          32   -3.368815e+00   -3.368404e+00    1.678106e-04
          33   -3.368872e+00   -3.368418e+00    1.633246e-04
          34   -3.370115e+00   -3.368468e+00    1.659693e-04
          35   -3.367355e+00   -3.368436e+00    1.642448e-04
          36   -3.368079e+00   -3.368426e+00    1.599816e-04
          37   -3.368963e+00   -3.368441e+00    1.563138e-04
          38   -3.367311e+00   -3.368411e+00    1.550022e-04
          39   -3.368849e+00   -3.368422e+00    1.514345e-04
          40   -3.370831e+00   -3.368483e+00    1.591726e-04
          41   -3.367957e+00   -3.368470e+00    1.558049e-04
          42   -3.369059e+00   -3.368484e+00    1.527257e-04
          43   -3.368895e+00   -3.368493e+00    1.494733e-04
          44   -3.368827e+00   -3.368501e+00    1.462686e-04
