#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.737097e+00    1.737097e+00    0.000000e+00
           2    1.663177e+00    1.700137e+00    2.613465e-02
           3    1.627903e+00    1.676059e+00    2.626895e-02
           4    1.660210e+00    1.672097e+00    1.999830e-02
           5    1.624382e+00    1.662554e+00    1.813311e-02
           6    1.634549e+00    1.657886e+00    1.570014e-02
           7    1.643439e+00    1.655822e+00    1.359224e-02
           8    1.660020e+00    1.656347e+00    1.190333e-02
           9    1.659986e+00    1.656751e+00    1.058760e-02
          10    1.683983e+00    1.659475e+00    9.872829e-03
          11    1.668827e+00    1.660325e+00    9.011838e-03
          12    1.673013e+00    1.661382e+00    8.322648e-03
          13    1.618942e+00    1.658118e+00    8.298065e-03
          14    1.670383e+00    1.658994e+00    7.751459e-03
          15    1.637686e+00    1.657573e+00    7.363709e-03
          16    1.642398e+00    1.656625e+00    6.964288e-03
          17    1.663810e+00    1.657047e+00    6.567438e-03
          18    1.641454e+00    1.656181e+00    6.259452e-03
          19    1.640028e+00    1.655331e+00    5.987461e-03
          20    1.637681e+00    1.654448e+00    5.752759e-03
          21    1.639451e+00    1.653734e+00    5.522969e-03
          22    1.649463e+00    1.653540e+00    5.275336e-03
          23    1.635169e+00    1.652741e+00    5.106083e-03
          24    1.684919e+00    1.654082e+00    5.066290e-03
          25    1.651366e+00    1.653973e+00    4.864803e-03
