#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    1.709936e+00    1.709936e+00    0.000000e+00
           2    2.140966e+00    1.925451e+00    1.523922e-01
           3    2.331978e+00    2.060960e+00    1.502108e-01
           4    1.984517e+00    2.041849e+00    1.138673e-01
           5    2.199730e+00    2.073426e+00    9.537155e-02
           6    2.214964e+00    2.097015e+00    8.234204e-02
           7    2.072462e+00    2.093508e+00    7.065357e-02
           8    2.209488e+00    2.108005e+00    6.329178e-02
           9    2.151802e+00    2.112872e+00    5.644613e-02
          10    2.142258e+00    2.115810e+00    5.087796e-02
          11    2.071261e+00    2.111760e+00    4.641359e-02
          12    2.192139e+00    2.118459e+00    4.302641e-02
          13    2.245143e+00    2.128204e+00    4.080532e-02
          14    2.019233e+00    2.120420e+00    3.862589e-02
          15    2.143874e+00    2.121983e+00    3.608246e-02
          16    2.163698e+00    2.124591e+00    3.392137e-02
          17    2.032011e+00    2.119145e+00    3.236019e-02
          18    2.174177e+00    2.122202e+00    3.070649e-02
          19    2.195355e+00    2.126052e+00    2.933074e-02
          20    2.132005e+00    2.126350e+00    2.786571e-02
          21    2.171551e+00    2.128502e+00    2.662178e-02
          22    2.151144e+00    2.129531e+00    2.543158e-02
          23    2.249966e+00    2.134768e+00    2.485909e-02
          24    1.968025e+00    2.127820e+00    2.477514e-02
          25    2.173250e+00    2.129637e+00    2.385068e-02
