#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.158064e+00    1.158064e+00    0.000000e+00
           2    1.108784e+00    1.133424e+00    1.742310e-02
           3    1.085269e+00    1.117373e+00    1.751263e-02
           4    1.106806e+00    1.114731e+00    1.333220e-02
           5    1.082922e+00    1.108369e+00    1.208874e-02
           6    1.089699e+00    1.105258e+00    1.046676e-02
           7    1.095626e+00    1.103882e+00    9.061491e-03
           8    1.106680e+00    1.104231e+00    7.935554e-03
           9    1.106657e+00    1.104501e+00    7.058402e-03
          10    1.122655e+00    1.106316e+00    6.581886e-03
          11    1.112552e+00    1.106883e+00    6.007892e-03
          12    1.115342e+00    1.107588e+00    5.548432e-03
          13    1.079295e+00    1.105412e+00    5.532043e-03
          14    1.113589e+00    1.105996e+00    5.167640e-03
          15    1.091790e+00    1.105049e+00    4.909139e-03
          16    1.094932e+00    1.104416e+00    4.642858e-03
          17    1.109207e+00    1.104698e+00    4.378292e-03
          18    1.094303e+00    1.104121e+00    4.172968e-03
          19    1.093352e+00    1.103554e+00    3.991641e-03
          20    1.091787e+00    1.102966e+00    3.835173e-03
          21    1.092967e+00    1.102490e+00    3.681979e-03
          22    1.099642e+00    1.102360e+00    3.516891e-03
          23    1.090113e+00    1.101828e+00    3.404055e-03
          24    1.123279e+00    1.102721e+00    3.377526e-03
          25    1.100910e+00    1.102649e+00    3.243202e-03
