#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -6.662487e+00   -6.662487e+00    0.000000e+00
           2   -6.661168e+00   -6.661827e+00    4.663815e-04
           3   -6.663377e+00   -6.662344e+00    5.239334e-04
           4   -6.666178e+00   -6.663302e+00    9.184403e-04
           5   -6.657629e+00   -6.662168e+00    1.252904e-03
           6   -6.664694e+00   -6.662589e+00    1.112604e-03
           7   -6.657386e+00   -6.661845e+00    1.176021e-03
           8   -6.666694e+00   -6.662452e+00    1.174873e-03
           9   -6.660661e+00   -6.662253e+00    1.061047e-03
          10   -6.655664e+00   -6.661594e+00    1.141321e-03
          11   -6.659712e+00   -6.661423e+00    1.050308e-03
          12   -6.654996e+00   -6.660887e+00    1.090798e-03
          13   -6.663963e+00   -6.661124e+00    1.032240e-03
          14   -6.663962e+00   -6.661326e+00    9.782084e-04
          15   -6.663023e+00   -6.661440e+00    9.195130e-04
          16   -6.661087e+00   -6.661418e+00    8.623080e-04
          17   -6.660442e+00   -6.661360e+00    8.134916e-04
          18   -6.659497e+00   -6.661257e+00    7.748515e-04
          19   -6.663009e+00   -6.661349e+00    7.395405e-04
          20   -6.666224e+00   -6.661593e+00    7.416491e-04
          21   -6.669308e+00   -6.661960e+00    7.921189e-04
          22   -6.660761e+00   -6.661906e+00    7.579851e-04
          23   -6.659758e+00   -6.661812e+00    7.307586e-04
          24   -6.659000e+00   -6.661695e+00    7.096391e-04
          25   -6.661076e+00   -6.661670e+00    6.816852e-04
          26   -6.658005e+00   -6.661529e+00    6.698876e-04
          27   -6.665459e+00   -6.661675e+00    6.606999e-04
          28   -6.662627e+00   -6.661709e+00    6.379779e-04
          29   -6.661652e+00   -6.661707e+00    6.159817e-04
          30   -6.655008e+00   -6.661484e+00    6.346268e-04
          31   -6.662754e+00   -6.661525e+00    6.154764e-04
          32   -6.664032e+00   -6.661603e+00    6.012094e-04
          33   -6.662854e+00   -6.661641e+00    5.841853e-04
          34   -6.662302e+00   -6.661660e+00    5.673264e-04
          35   -6.662769e+00   -6.661692e+00    5.520005e-04
          36   -6.659689e+00   -6.661636e+00    5.394650e-04
          37   -6.660151e+00   -6.661596e+00    5.263767e-04
          38   -6.660691e+00   -6.661572e+00    5.130636e-04
          39   -6.661211e+00   -6.661563e+00    4.999919e-04
          40   -6.657576e+00   -6.661463e+00    4.973291e-04
          41   -6.664036e+00   -6.661526e+00    4.891403e-04
          42   -6.655238e+00   -6.661376e+00    4.998813e-04
          43   -6.663230e+00   -6.661419e+00    4.901107e-04
          44   -6.657480e+00   -6.661330e+00    4.870813e-04
          45   -6.660277e+00   -6.661307e+00    4.768190e-04
          46   -6.660283e+00   -6.661284e+00    4.669721e-04
          47   -6.657658e+00   -6.661207e+00    4.633669e-04
          48   -6.663571e+00   -6.661256e+00    4.563237e-04
          49   -6.663949e+00   -6.661311e+00    4.503074e-04
          50   -6.664436e+00   -6.661374e+00    4.456154e-04
          51   -6.656323e+00   -6.661275e+00    4.477470e-04
          52   -6.667877e+00   -6.661402e+00    4.567830e-04
          53   -6.662610e+00   -6.661425e+00    4.487326e-04
          54   -6.658773e+00   -6.661375e+00    4.431014e-04
          55   -6.670686e+00   -6.661545e+00    4.662607e-04
          56   -6.659106e+00   -6.661501e+00    4.599635e-04
          57   -6.657735e+00   -6.661435e+00    4.566158e-04
          58   -6.663878e+00   -6.661477e+00    4.506812e-04
          59   -6.654762e+00   -6.661363e+00    4.571868e-04
          60   -6.658468e+00   -6.661315e+00    4.521067e-04
          61   -6.654721e+00   -6.661207e+00    4.574368e-04
          62   -6.668146e+00   -6.661319e+00    4.635494e-04
          63   -6.660666e+00   -6.661309e+00    4.563072e-04
          64   -6.663815e+00   -6.661348e+00    4.508543e-04
          65   -6.659295e+00   -6.661316e+00    4.450224e-04
          66   -6.655378e+00   -6.661226e+00    4.472811e-04
          67   -6.655565e+00   -6.661142e+00    4.485159e-04
          68   -6.666238e+00   -6.661217e+00    4.481390e-04
          69   -6.658484e+00   -6.661177e+00    4.433910e-04
          70   -6.666463e+00   -6.661253e+00    4.434417e-04
          71   -6.657090e+00   -6.661194e+00    4.410539e-04
          72   -6.665854e+00   -6.661259e+00    4.396513e-04
          73   -6.651684e+00   -6.661128e+00    4.527688e-04
          74   -6.659807e+00   -6.661110e+00    4.470017e-04
          75   -6.661281e+00   -6.661112e+00    4.410475e-04
          76   -6.663049e+00   -6.661137e+00    4.359798e-04
          77   -6.662089e+00   -6.661150e+00    4.304930e-04
          78   -6.653769e+00   -6.661055e+00    4.352488e-04
          79   -6.669461e+00   -6.661162e+00    4.425548e-04
          80   -6.665634e+00   -6.661218e+00    4.405401e-04
          81   -6.666323e+00   -6.661281e+00    4.395872e-04
          82   -6.650127e+00   -6.661145e+00    4.547840e-04
          83   -6.658176e+00   -6.661109e+00    4.507084e-04
          84   -6.660494e+00   -6.661101e+00    4.454023e-04
          85   -6.657846e+00   -6.661063e+00    4.418059e-04
          86   -6.664713e+00   -6.661106e+00    4.387021e-04
          87   -6.660824e+00   -6.661102e+00    4.336714e-04
          88   -6.657597e+00   -6.661063e+00    4.305684e-04
          89   -6.667195e+00   -6.661131e+00    4.312092e-04
          90   -6.662458e+00   -6.661146e+00    4.266697e-04
          91   -6.659559e+00   -6.661129e+00    4.223373e-04
          92   -6.666384e+00   -6.661186e+00    4.215917e-04
          93   -6.656037e+00   -6.661130e+00    4.206782e-04
          94   -6.661949e+00   -6.661139e+00    4.162930e-04
          95   -6.662941e+00   -6.661158e+00    4.123430e-04
          96   -6.663173e+00   -6.661179e+00    4.085817e-04
          97   -6.660764e+00   -6.661175e+00    4.043919e-04
          98   -6.656018e+00   -6.661122e+00    4.036748e-04
          99   -6.667906e+00   -6.661191e+00    4.053721e-04
         100   -6.652595e+00   -6.661105e+00    4.103317e-04
