#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.461869e+00   -5.461869e+00    0.000000e+00
           2   -5.460563e+00   -5.461216e+00    4.615734e-04
           3   -5.462620e+00   -5.461684e+00    4.906510e-04
           4   -5.462018e+00   -5.461767e+00    3.750194e-04
           5   -5.461790e+00   -5.461772e+00    3.000438e-04
           6   -5.461669e+00   -5.461755e+00    2.505254e-04
           7   -5.461872e+00   -5.461772e+00    2.152920e-04
           8   -5.461853e+00   -5.461782e+00    1.886194e-04
           9   -5.461329e+00   -5.461731e+00    1.742373e-04
          10   -5.460685e+00   -5.461627e+00    1.855728e-04
          11   -5.461279e+00   -5.461595e+00    1.713836e-04
          12   -5.460597e+00   -5.461512e+00    1.761475e-04
          13   -5.461169e+00   -5.461486e+00    1.645666e-04
          14   -5.461281e+00   -5.461471e+00    1.534595e-04
          15   -5.460449e+00   -5.461403e+00    1.576224e-04
          16   -5.461604e+00   -5.461415e+00    1.482730e-04
          17   -5.461699e+00   -5.461432e+00    1.404845e-04
          18   -5.461178e+00   -5.461418e+00    1.333870e-04
          19   -5.461991e+00   -5.461448e+00    1.297279e-04
          20   -5.462627e+00   -5.461507e+00    1.359846e-04
          21   -5.460960e+00   -5.461481e+00    1.319799e-04
          22   -5.460765e+00   -5.461449e+00    1.299295e-04
          23   -5.461248e+00   -5.461440e+00    1.245717e-04
          24   -5.461201e+00   -5.461430e+00    1.197779e-04
          25   -5.461523e+00   -5.461434e+00    1.150453e-04
          26   -5.461039e+00   -5.461418e+00    1.116162e-04
          27   -5.461883e+00   -5.461436e+00    1.087997e-04
          28   -5.461823e+00   -5.461449e+00    1.057895e-04
          29   -5.460963e+00   -5.461433e+00    1.034631e-04
          30   -5.460727e+00   -5.461409e+00    1.026534e-04
          31   -5.461876e+00   -5.461424e+00    1.004424e-04
          32   -5.461950e+00   -5.461441e+00    9.863625e-05
          33   -5.461602e+00   -5.461446e+00    9.576909e-05
          34   -5.461663e+00   -5.461452e+00    9.316624e-05
          35   -5.461747e+00   -5.461460e+00    9.088444e-05
          36   -5.460972e+00   -5.461447e+00    8.936870e-05
          37   -5.461837e+00   -5.461457e+00    8.757233e-05
          38   -5.461861e+00   -5.461468e+00    8.590956e-05
          39   -5.460563e+00   -5.461445e+00    8.678278e-05
          40   -5.461254e+00   -5.461440e+00    8.474382e-05
          41   -5.461494e+00   -5.461441e+00    8.268722e-05
          42   -5.461106e+00   -5.461433e+00    8.110319e-05
          43   -5.461647e+00   -5.461438e+00    7.936944e-05
          44   -5.461330e+00   -5.461436e+00    7.760358e-05
          45   -5.462047e+00   -5.461449e+00    7.705632e-05
          46   -5.462407e+00   -5.461470e+00    7.813964e-05
          47   -5.460988e+00   -5.461460e+00    7.714660e-05
          48   -5.461177e+00   -5.461454e+00    7.576510e-05
          49   -5.460588e+00   -5.461436e+00    7.625460e-05
          50   -5.461237e+00   -5.461432e+00    7.483383e-05
          51   -5.461257e+00   -5.461429e+00    7.344544e-05
          52   -5.461213e+00   -5.461425e+00    7.215006e-05
          53   -5.460138e+00   -5.461401e+00    7.476264e-05
          54   -5.462463e+00   -5.461420e+00    7.592501e-05
          55   -5.462254e+00   -5.461435e+00    7.604278e-05
          56   -5.461771e+00   -5.461441e+00    7.492087e-05
          57   -5.460475e+00   -5.461424e+00    7.549856e-05
          58   -5.461809e+00   -5.461431e+00    7.448675e-05
          59   -5.460574e+00   -5.461417e+00    7.462818e-05
          60   -5.461260e+00   -5.461414e+00    7.343025e-05
          61   -5.460820e+00   -5.461404e+00    7.286978e-05
          62   -5.461065e+00   -5.461399e+00    7.189951e-05
          63   -5.461500e+00   -5.461400e+00    7.077629e-05
          64   -5.461121e+00   -5.461396e+00    6.980453e-05
          65   -5.461693e+00   -5.461401e+00    6.888050e-05
          66   -5.461443e+00   -5.461401e+00    6.783992e-05
          67   -5.461458e+00   -5.461402e+00    6.683265e-05
