#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.194561e+00    1.194561e+00    0.000000e+00
           2    1.200867e+00    1.197714e+00    2.229424e-03
           3    1.205025e+00    1.200151e+00    2.483658e-03
           4    1.196774e+00    1.199307e+00    2.001127e-03
           5    1.206006e+00    1.200647e+00    1.999806e-03
           6    1.195000e+00    1.199706e+00    1.874912e-03
           7    1.200503e+00    1.199820e+00    1.610526e-03
           8    1.202575e+00    1.200164e+00    1.445582e-03
           9    1.199173e+00    1.200054e+00    1.289150e-03
          10    1.194638e+00    1.199512e+00    1.268893e-03
          11    1.198192e+00    1.199392e+00    1.159205e-03
          12    1.207868e+00    1.200099e+00    1.259536e-03
          13    1.199713e+00    1.200069e+00    1.162998e-03
          14    1.198606e+00    1.199964e+00    1.084612e-03
          15    1.201433e+00    1.200062e+00    1.016714e-03
          16    1.196802e+00    1.199859e+00    9.733797e-04
          17    1.201412e+00    1.199950e+00    9.204008e-04
          18    1.202736e+00    1.200105e+00    8.821826e-04
          19    1.203758e+00    1.200297e+00    8.564532e-04
          20    1.199042e+00    1.200234e+00    8.159256e-04
          21    1.196458e+00    1.200054e+00    7.966355e-04
          22    1.201363e+00    1.200114e+00    7.626428e-04
          23    1.202452e+00    1.200216e+00    7.362296e-04
          24    1.200277e+00    1.200218e+00    7.055577e-04
          25    1.200435e+00    1.200227e+00    6.773888e-04
