#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    7.963741e-01    7.963741e-01    0.000000e+00
           2    8.005779e-01    7.984760e-01    1.486283e-03
           3    8.033502e-01    8.001007e-01    1.655772e-03
           4    7.978491e-01    7.995378e-01    1.334085e-03
           5    8.040043e-01    8.004311e-01    1.333204e-03
           6    7.966667e-01    7.998037e-01    1.249941e-03
           7    8.003355e-01    7.998797e-01    1.073684e-03
           8    8.017169e-01    8.001093e-01    9.637211e-04
           9    7.994485e-01    8.000359e-01    8.594333e-04
          10    7.964256e-01    7.996749e-01    8.459288e-04
          11    7.987945e-01    7.995949e-01    7.728033e-04
          12    8.052454e-01    8.000657e-01    8.396910e-04
          13    7.998086e-01    8.000459e-01    7.753323e-04
          14    7.990706e-01    7.999763e-01    7.230749e-04
          15    8.009553e-01    8.000415e-01    6.778091e-04
          16    7.978677e-01    7.999057e-01    6.489198e-04
          17    8.009412e-01    7.999666e-01    6.136006e-04
          18    8.018237e-01    8.000698e-01    5.881217e-04
          19    8.025055e-01    8.001980e-01    5.709688e-04
          20    7.993614e-01    8.001561e-01    5.439504e-04
          21    7.976390e-01    8.000363e-01    5.310904e-04
          22    8.009088e-01    8.000759e-01    5.084285e-04
          23    8.016348e-01    8.001437e-01    4.908197e-04
          24    8.001845e-01    8.001454e-01    4.703718e-04
          25    8.002901e-01    8.001512e-01    4.515925e-04
