#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -8.629800e-02   -8.629800e-02    0.000000e+00
           2   -2.264080e-01   -1.563530e-01    4.953637e-02
           3   -4.560780e-01   -2.562613e-01    8.800597e-02
           4   -4.906660e-01   -3.148625e-01    8.325962e-02
           5    1.258500e-01   -2.267200e-01    1.032079e-01
           6   -1.065880e-01   -2.066980e-01    8.792722e-02
           7    4.542020e-01   -1.122837e-01    1.154153e-01
           8    3.371060e-01   -5.611000e-02    1.138407e-01
           9    5.297840e-01    8.989333e-03    1.183503e-01
          10   -3.395560e-01   -2.586520e-02    1.115297e-01
          11   -3.422900e-01   -5.463109e-02    1.050348e-01
          12    4.534340e-01   -1.229233e-02    1.044672e-01
          13    1.113340e-01   -2.782615e-03    9.686311e-02
          14    3.438260e-01    2.197514e-02    9.305453e-02
          15   -6.432160e-01   -2.237093e-02    9.684290e-02
          16    2.208660e-01   -7.168625e-03    9.197570e-02
          17    2.211460e-01    6.261647e-03    8.754042e-02
          18    9.500200e-02    1.119167e-02    8.281576e-02
          19   -1.155880e-01    4.519053e-03    7.872539e-02
          20   -4.281660e-01   -1.711520e-02    7.770490e-02
          21   -8.991000e-02   -2.058162e-02    7.408195e-02
          22    1.036940e-01   -1.493273e-02    7.092963e-02
          23   -5.123200e-02   -1.651096e-02    6.786329e-02
          24   -6.222000e-03   -1.608225e-02    6.503700e-02
          25    3.649740e-01   -8.400000e-04    6.419679e-02
