#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    8.432378e-03    8.432378e-03    0.000000e+00
           2    7.730078e-03    8.081228e-03    2.483005e-04
           3    7.553526e-03    7.905327e-03    2.191547e-04
           4    6.734600e-03    7.612645e-03    3.020979e-04
           5    7.693615e-03    7.628839e-03    2.421120e-04
           6    7.171358e-03    7.552592e-03    2.134285e-04
           7    7.367626e-03    7.526169e-03    1.845672e-04
           8    5.759164e-03    7.305293e-03    2.622381e-04
           9    6.921715e-03    7.262673e-03    2.365385e-04
          10    6.044160e-03    7.140822e-03    2.422454e-04
          11    6.861970e-03    7.115472e-03    2.215456e-04
          12    6.797250e-03    7.088953e-03    2.046644e-04
          13    6.787087e-03    7.065733e-03    1.902337e-04
          14    6.586844e-03    7.031527e-03    1.796946e-04
          15    6.691676e-03    7.008870e-03    1.691372e-04
          16    6.653705e-03    6.986672e-03    1.600162e-04
          17    5.992064e-03    6.928166e-03    1.609442e-04
          18    7.431954e-03    6.956154e-03    1.544173e-04
          19    7.244640e-03    6.971337e-03    1.470346e-04
          20    6.139257e-03    6.929733e-03    1.454499e-04
          21    6.518461e-03    6.910149e-03    1.398360e-04
          22    5.461600e-03    6.844306e-03    1.481726e-04
          23    6.831491e-03    6.843749e-03    1.417313e-04
          24    6.963041e-03    6.848719e-03    1.359130e-04
          25    5.841292e-03    6.808422e-03    1.363195e-04
