#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    6.613470e+01    6.613470e+01    0.000000e+00
           2    7.083154e+01    6.848312e+01    1.660584e+00
           3    7.179551e+01    6.958725e+01    1.427694e+00
           4    7.703788e+01    7.144991e+01    1.936148e+00
           5    6.870426e+01    7.090078e+01    1.624926e+00
           6    7.551160e+01    7.166925e+01    1.525032e+00
           7    7.930494e+01    7.276006e+01    1.651843e+00
           8    8.426596e+01    7.419830e+01    1.974597e+00
           9    7.549056e+01    7.434188e+01    1.760410e+00
          10    8.049602e+01    7.495730e+01    1.688516e+00
          11    7.748356e+01    7.518696e+01    1.550554e+00
          12    7.734966e+01    7.536718e+01    1.431777e+00
          13    7.995010e+01    7.571971e+01    1.364350e+00
          14    7.604913e+01    7.574324e+01    1.267100e+00
          15    7.944330e+01    7.598991e+01    1.206398e+00
          16    7.714751e+01    7.606226e+01    1.133165e+00
          17    8.313806e+01    7.647849e+01    1.140391e+00
          18    7.940703e+01    7.664118e+01    1.088580e+00
          19    7.344974e+01    7.647321e+01    1.044165e+00
          20    7.978753e+01    7.663893e+01    1.005020e+00
          21    7.864334e+01    7.673438e+01    9.616841e-01
          22    8.671618e+01    7.718810e+01    1.019399e+00
          23    7.422586e+01    7.705930e+01    9.831796e-01
          24    7.864202e+01    7.712525e+01    9.444229e-01
          25    8.296634e+01    7.735889e+01    9.351004e-01
