#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -9.608400e-01   -9.608400e-01    0.000000e+00
           2   -9.650240e-01   -9.629320e-01    1.479267e-03
           3   -9.665680e-01   -9.641440e-01    1.397084e-03
           4   -9.725040e-01   -9.662340e-01    2.091408e-03
           5   -9.631680e-01   -9.656208e-01    1.760728e-03
           6   -9.708720e-01   -9.664960e-01    1.670690e-03
           7   -9.736240e-01   -9.675143e-01    1.714484e-03
           8   -9.783360e-01   -9.688670e-01    1.962556e-03
           9   -9.714040e-01   -9.691489e-01    1.764623e-03
          10   -9.768000e-01   -9.699140e-01    1.746170e-03
          11   -9.712440e-01   -9.700349e-01    1.591608e-03
          12   -9.712520e-01   -9.701363e-01    1.462202e-03
          13   -9.735480e-01   -9.703988e-01    1.373074e-03
          14   -9.716760e-01   -9.704900e-01    1.278024e-03
          15   -9.750320e-01   -9.707928e-01    1.228170e-03
          16   -9.732640e-01   -9.709472e-01    1.161080e-03
          17   -9.769960e-01   -9.713031e-01    1.146003e-03
          18   -9.733840e-01   -9.714187e-01    1.088152e-03
          19   -9.694000e-01   -9.713124e-01    1.036055e-03
          20   -9.758160e-01   -9.715376e-01    1.008426e-03
          21   -9.732840e-01   -9.716208e-01    9.638284e-04
          22   -9.818000e-01   -9.720835e-01    1.025079e-03
          23   -9.705360e-01   -9.720162e-01    9.827157e-04
          24   -9.732680e-01   -9.720683e-01    9.431524e-04
          25   -9.782120e-01   -9.723141e-01    9.368952e-04
