#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    8.876620e-01    8.876620e-01    0.000000e+00
           2    9.280080e-01    9.078350e-01    1.426447e-02
           3    9.490960e-01    9.215887e-01    1.471537e-02
           4    9.400200e-01    9.261965e-01    1.173580e-02
           5    8.942000e-01    9.197972e-01    1.099579e-02
           6    8.660800e-01    9.108443e-01    1.227837e-02
           7    9.508920e-01    9.165654e-01    1.178203e-02
           8    7.338820e-01    8.937300e-01    2.371826e-02
           9    9.259060e-01    8.973051e-01    2.135064e-02
          10    9.272120e-01    9.002958e-01    1.942391e-02
          11    8.989620e-01    9.001745e-01    1.765848e-02
          12    9.497300e-01    9.043042e-01    1.666282e-02
          13    9.435600e-01    9.073238e-01    1.565229e-02
          14    9.399300e-01    9.096529e-01    1.470652e-02
          15    8.656420e-01    9.067188e-01    1.401572e-02
          16    9.467920e-01    9.092234e-01    1.336164e-02
          17    9.012140e-01    9.087522e-01    1.258397e-02
          18    7.919400e-01    9.022627e-01    1.345454e-02
          19    8.905160e-01    9.016444e-01    1.276060e-02
          20    9.039080e-01    9.017576e-01    1.212307e-02
          21    9.333420e-01    9.032616e-01    1.163871e-02
          22    9.149180e-01    9.037915e-01    1.112173e-02
          23    9.266560e-01    9.047856e-01    1.068251e-02
          24    8.477820e-01    9.024104e-01    1.049813e-02
          25    9.497900e-01    9.043056e-01    1.024784e-02
          26    9.004080e-01    9.041557e-01    9.854792e-03
          27    7.158900e-01    8.971829e-01    1.169938e-02
          28    9.603480e-01    8.994388e-01    1.149698e-02
          29    9.456600e-01    9.010326e-01    1.121047e-02
          30    9.120700e-01    9.014005e-01    1.084282e-02
