#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    6.748024e-03    6.748024e-03    0.000000e+00
           2    5.342135e-03    6.045079e-03    4.970569e-04
           3    4.039124e-03    5.376427e-03    6.386473e-04
           4    4.765215e-03    5.223624e-03    4.969293e-04
           5    6.715866e-03    5.522073e-03    4.788506e-04
           6    5.936222e-03    5.591097e-03    4.039864e-04
           7    3.980464e-03    5.361007e-03    4.065517e-04
           8    5.785735e-03    5.414098e-03    3.591825e-04
           9    4.985154e-03    5.366437e-03    3.224199e-04
          10    5.098359e-03    5.339629e-03    2.912903e-04
          11    5.578685e-03    5.361362e-03    2.656188e-04
          12    4.481453e-03    5.288036e-03    2.534029e-04
          13    4.485736e-03    5.226321e-03    2.413086e-04
          14    4.290513e-03    5.159477e-03    2.331465e-04
          15    7.325178e-03    5.303857e-03    2.584708e-04
          16    4.766806e-03    5.270292e-03    2.444861e-04
          17    6.030127e-03    5.314988e-03    2.341545e-04
          18    7.753069e-03    5.450437e-03    2.573572e-04
          19    5.989030e-03    5.478784e-03    2.453683e-04
          20    5.380558e-03    5.473872e-03    2.331490e-04
          21    4.757007e-03    5.439736e-03    2.245318e-04
          22    5.445532e-03    5.439999e-03    2.143260e-04
          23    5.337537e-03    5.435545e-03    2.050537e-04
          24    6.273051e-03    5.470441e-03    1.994570e-04
          25    4.119685e-03    5.416410e-03    1.986620e-04
          26    5.382051e-03    5.415089e-03    1.910256e-04
          27    5.809740e-03    5.429706e-03    1.845089e-04
          28    3.991288e-03    5.378334e-03    1.849328e-04
          29    4.128555e-03    5.335238e-03    1.835085e-04
          30    6.004169e-03    5.357535e-03    1.787411e-04
