#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.584569e+01    8.584569e+01    0.000000e+00
           2    8.976350e+01    8.780460e+01    1.385157e+00
           3    9.312254e+01    8.957725e+01    1.716856e+00
           4    9.196834e+01    9.017502e+01    1.387812e+00
           5    8.656290e+01    8.945259e+01    1.284590e+00
           6    8.955587e+01    8.946981e+01    1.070607e+00
           7    9.289955e+01    8.995977e+01    1.023658e+00
           8    8.890246e+01    8.982761e+01    9.041920e-01
           9    9.086401e+01    8.994276e+01    8.110261e-01
          10    8.977368e+01    8.992585e+01    7.300997e-01
          11    9.040666e+01    8.996956e+01    6.650341e-01
          12    9.250014e+01    9.018044e+01    6.421798e-01
          13    9.189541e+01    9.031236e+01    6.061799e-01
          14    9.173233e+01    9.041379e+01    5.713036e-01
          15    8.485393e+01    9.004313e+01    6.422989e-01
          16    9.179656e+01    9.015272e+01    6.114328e-01
          17    8.809782e+01    9.003185e+01    5.872930e-01
          18    8.162181e+01    8.956462e+01    7.168157e-01
          19    8.943534e+01    8.955782e+01    6.791209e-01
          20    8.963552e+01    8.956170e+01    6.451759e-01
          21    9.139094e+01    8.964881e+01    6.203056e-01
          22    9.005105e+01    8.966709e+01    5.923793e-01
          23    9.017866e+01    8.968933e+01    5.670411e-01
          24    8.764726e+01    8.960425e+01    5.497611e-01
          25    9.280034e+01    8.973209e+01    5.424317e-01
          26    8.839922e+01    8.968083e+01    5.239858e-01
          27    9.022825e+01    8.970110e+01    5.049710e-01
          28    9.373166e+01    8.984505e+01    5.070386e-01
          29    9.275982e+01    8.994556e+01    4.994171e-01
          30    8.865722e+01    8.990262e+01    4.846127e-01
