#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -9.987532e-01   -9.987532e-01    0.000000e+00
           2   -1.002748e+00   -1.000751e+00    1.412418e-03
           3   -1.007850e+00   -1.003117e+00    2.149392e-03
           4   -1.005960e+00   -1.003828e+00    1.725583e-03
           5   -9.984440e-01   -1.002751e+00    1.683230e-03
           6   -1.001738e+00   -1.002582e+00    1.411143e-03
           7   -1.007238e+00   -1.003247e+00    1.357263e-03
           8   -9.976056e-01   -1.002542e+00    1.358514e-03
           9   -1.004414e+00   -1.002750e+00    1.223388e-03
          10   -1.003664e+00   -1.002842e+00    1.104459e-03
          11   -1.003327e+00   -1.002886e+00    1.004936e-03
          12   -1.005643e+00   -1.003115e+00    9.470891e-04
          13   -1.005811e+00   -1.003323e+00    8.966507e-04
          14   -1.005967e+00   -1.003512e+00    8.522585e-04
          15   -9.970368e-01   -1.003080e+00    8.981253e-04
          16   -1.005008e+00   -1.003200e+00    8.500366e-04
          17   -1.000760e+00   -1.003057e+00    8.120634e-04
          18   -9.923428e-01   -1.002462e+00    9.606378e-04
          19   -1.001546e+00   -1.002414e+00    9.112853e-04
          20   -1.002870e+00   -1.002436e+00    8.660070e-04
          21   -1.005363e+00   -1.002576e+00    8.359059e-04
          22   -1.003890e+00   -1.002635e+00    8.000432e-04
          23   -1.004597e+00   -1.002721e+00    7.697915e-04
          24   -9.996956e-01   -1.002595e+00    7.479652e-04
          25   -1.007596e+00   -1.002795e+00    7.443169e-04
          26   -1.002792e+00   -1.002795e+00    7.156893e-04
          27   -9.994418e-01   -1.002670e+00    6.998726e-04
          28   -1.007539e+00   -1.002844e+00    6.961407e-04
          29   -1.007649e+00   -1.003010e+00    6.915717e-04
          30   -1.001385e+00   -1.002956e+00    6.706362e-04
