#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -1.000000e+00   -1.000000e+00    0.000000e+00
           2   -1.000000e+00   -1.000000e+00    0.000000e+00
           3   -1.000000e+00   -1.000000e+00    0.000000e+00
           4   -1.000000e+00   -1.000000e+00    0.000000e+00
           5   -1.000000e+00   -1.000000e+00    0.000000e+00
           6   -1.000000e+00   -1.000000e+00    0.000000e+00
           7   -1.000000e+00   -1.000000e+00    0.000000e+00
           8   -9.997040e-01   -9.999630e-01    3.461033e-05
           9   -9.999960e-01   -9.999667e-01    3.095835e-05
          10   -1.000000e+00   -9.999700e-01    2.804140e-05
          11   -1.000000e+00   -9.999727e-01    2.562446e-05
          12   -1.000000e+00   -9.999750e-01    2.358966e-05
          13   -9.997440e-01   -9.999572e-01    2.766968e-05
          14   -1.000000e+00   -9.999603e-01    2.586137e-05
          15   -1.000000e+00   -9.999629e-01    2.427243e-05
          16   -1.000000e+00   -9.999652e-01    2.286569e-05
          17   -1.000000e+00   -9.999673e-01    2.161183e-05
          18   -1.000000e+00   -9.999691e-01    2.048741e-05
          19   -1.000000e+00   -9.999707e-01    1.947352e-05
          20   -1.000000e+00   -9.999722e-01    1.855473e-05
          21   -9.999960e-01   -9.999733e-01    1.770575e-05
          22   -1.000000e+00   -9.999745e-01    1.694238e-05
          23   -1.000000e+00   -9.999757e-01    1.624186e-05
          24   -1.000000e+00   -9.999767e-01    1.559677e-05
          25   -1.000000e+00   -9.999776e-01    1.500080e-05
