#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -1.020000e+00   -1.020000e+00    0.000000e+00
           2   -1.020000e+00   -1.020000e+00    0.000000e+00
           3   -1.020000e+00   -1.020000e+00    0.000000e+00
           4   -1.020000e+00   -1.020000e+00    0.000000e+00
           5   -1.020000e+00   -1.020000e+00    0.000000e+00
           6   -1.020000e+00   -1.020000e+00    6.083374e-09
           7   -1.020000e+00   -1.020000e+00    5.632110e-09
           8   -1.019849e+00   -1.019981e+00    1.761853e-05
           9   -1.019996e+00   -1.019983e+00    1.573742e-05
          10   -1.020000e+00   -1.019985e+00    1.425726e-05
          11   -1.020000e+00   -1.019986e+00    1.303035e-05
          12   -1.020000e+00   -1.019987e+00    1.199708e-05
          13   -1.020000e+00   -1.019988e+00    1.111515e-05
          14   -1.020000e+00   -1.019989e+00    1.035367e-05
          15   -1.020000e+00   -1.019990e+00    9.689604e-06
          16   -1.020000e+00   -1.019990e+00    9.105423e-06
          17   -1.020000e+00   -1.019991e+00    8.587560e-06
          18   -1.020000e+00   -1.019991e+00    8.125345e-06
          19   -1.020000e+00   -1.019992e+00    7.710280e-06
          20   -1.020000e+00   -1.019992e+00    7.335509e-06
          21   -1.019996e+00   -1.019992e+00    6.988311e-06
          22   -1.020000e+00   -1.019993e+00    6.679104e-06
          23   -1.020000e+00   -1.019993e+00    6.396074e-06
          24   -1.020000e+00   -1.019993e+00    6.136035e-06
          25   -1.020000e+00   -1.019994e+00    5.896294e-06
          26   -1.020000e+00   -1.019994e+00    5.674572e-06
          27   -1.020000e+00   -1.019994e+00    5.468907e-06
          28   -1.020000e+00   -1.019994e+00    5.277619e-06
          29   -1.020000e+00   -1.019995e+00    5.099254e-06
          30   -1.020000e+00   -1.019995e+00    4.932544e-06
