#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.590869e+01    8.590869e+01    0.000000e+00
           2    8.976350e+01    8.783610e+01    1.362883e+00
           3    9.312254e+01    8.959825e+01    1.701660e+00
           4    9.196834e+01    9.019077e+01    1.375541e+00
           5    8.656290e+01    8.946519e+01    1.277544e+00
           6    8.955587e+01    8.948031e+01    1.064710e+00
           7    9.289955e+01    8.996877e+01    1.018511e+00
           8    8.890246e+01    8.983548e+01    8.998767e-01
           9    9.086401e+01    8.994976e+01    8.071144e-01
          10    8.977368e+01    8.993215e+01    7.265950e-01
          11    9.040666e+01    8.997529e+01    6.618202e-01
          12    9.250014e+01    9.018569e+01    6.392396e-01
          13    9.189541e+01    9.031721e+01    6.034447e-01
          14    9.173233e+01    9.041829e+01    5.687442e-01
          15    8.485393e+01    9.004733e+01    6.404793e-01
          16    9.179656e+01    9.015666e+01    6.097087e-01
          17    8.809782e+01    9.003555e+01    5.857481e-01
          18    8.162181e+01    8.956812e+01    7.158143e-01
          19    8.943534e+01    8.956113e+01    6.781740e-01
          20    8.963552e+01    8.956485e+01    6.442755e-01
          21    9.139094e+01    8.965181e+01    6.194360e-01
          22    9.005105e+01    8.966996e+01    5.915456e-01
          23    9.017866e+01    8.969207e+01    5.662396e-01
          24    8.764726e+01    8.960687e+01    5.490188e-01
          25    9.280034e+01    8.973461e+01    5.417146e-01
          26    8.839922e+01    8.968325e+01    5.233086e-01
          27    9.022825e+01    8.970344e+01    5.043160e-01
          28    9.373166e+01    8.984730e+01    5.064092e-01
          29    9.275982e+01    8.994773e+01    4.988063e-01
          30    8.865722e+01    8.990472e+01    4.840308e-01
