#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    4.214580e-01    4.214580e-01    0.000000e+00
           2    3.488680e-01    3.851630e-01    2.566444e-02
           3    4.701660e-01    4.134973e-01    2.877433e-02
           4    3.118360e-01    3.880820e-01    3.082504e-02
           5    3.329940e-01    3.770644e-01    2.655611e-02
           6    3.047300e-01    3.650087e-01    2.471555e-02
           7    3.483200e-01    3.626246e-01    2.129943e-02
           8    3.817140e-01    3.650108e-01    1.877019e-02
           9    3.533240e-01    3.637122e-01    1.672947e-02
          10    3.448200e-01    3.618230e-01    1.516282e-02
          11    3.367300e-01    3.595418e-01    1.395492e-02
          12    4.335580e-01    3.657098e-01    1.408935e-02
          13    3.905620e-01    3.676215e-01    1.313460e-02
          14    3.721160e-01    3.679426e-01    1.220034e-02
          15    3.108920e-01    3.641392e-01    1.196514e-02
          16    2.976980e-01    3.599866e-01    1.191614e-02
          17    3.546160e-01    3.596707e-01    1.121938e-02
          18    3.463220e-01    3.589291e-01    1.062056e-02
          19    3.397380e-01    3.579191e-01    1.010950e-02
          20    3.363200e-01    3.568391e-01    9.661538e-03
          21    4.078560e-01    3.592685e-01    9.501988e-03
          22    3.851140e-01    3.604433e-01    9.142415e-03
          23    3.686040e-01    3.607981e-01    8.751801e-03
          24    3.766400e-01    3.614582e-01    8.411998e-03
          25    4.014480e-01    3.630578e-01    8.226199e-03
          26    3.484600e-01    3.624963e-01    7.928944e-03
          27    3.518960e-01    3.621037e-01    7.644993e-03
          28    3.955820e-01    3.632994e-01    7.464870e-03
          29    4.806660e-01    3.673465e-01    8.231763e-03
          30    3.856220e-01    3.679557e-01    7.979880e-03
