#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    5.875074e-03    5.875074e-03    0.000000e+00
           2    5.869582e-03    5.872328e-03    1.941586e-06
           3    5.939257e-03    5.894637e-03    1.826164e-05
           4    5.816253e-03    5.875041e-03    2.180802e-05
           5    5.854748e-03    5.870983e-03    1.782009e-05
           6    5.818515e-03    5.862238e-03    1.685969e-05
           7    5.877544e-03    5.864425e-03    1.459226e-05
           8    5.967142e-03    5.877264e-03    1.752932e-05
           9    6.002523e-03    5.891182e-03    2.037069e-05
          10    5.897225e-03    5.891786e-03    1.834258e-05
          11    5.885222e-03    5.891190e-03    1.668478e-05
          12    5.837798e-03    5.886740e-03    1.587653e-05
          13    5.845810e-03    5.883592e-03    1.496419e-05
          14    5.872351e-03    5.882789e-03    1.391684e-05
          15    5.817375e-03    5.878428e-03    1.365523e-05
          16    5.960646e-03    5.883567e-03    1.373464e-05
          17    5.893086e-03    5.884127e-03    1.293813e-05
          18    5.872327e-03    5.883471e-03    1.223594e-05
          19    5.747051e-03    5.876291e-03    1.353560e-05
          20    5.758802e-03    5.870417e-03    1.407597e-05
          21    5.984745e-03    5.875861e-03    1.442015e-05
          22    5.854205e-03    5.874876e-03    1.379824e-05
          23    5.911295e-03    5.876460e-03    1.328886e-05
          24    5.717039e-03    5.869817e-03    1.429926e-05
          25    5.873027e-03    5.869946e-03    1.372787e-05
