#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    5.946314e-03    5.946314e-03    0.000000e+00
           2    5.929430e-03    5.937872e-03    5.969361e-06
           3    6.024245e-03    5.966663e-03    2.384223e-05
           4    5.812752e-03    5.928186e-03    3.781742e-05
           5    5.920063e-03    5.926561e-03    3.028880e-05
           6    5.908473e-03    5.923546e-03    2.539025e-05
           7    5.901563e-03    5.920406e-03    2.195644e-05
           8    6.037517e-03    5.935045e-03    2.359248e-05
           9    6.099502e-03    5.953318e-03    2.714019e-05
          10    5.932642e-03    5.951250e-03    2.450480e-05
          11    5.878512e-03    5.944638e-03    2.315210e-05
          12    5.895984e-03    5.940583e-03    2.157485e-05
          13    5.918752e-03    5.938904e-03    1.998050e-05
          14    5.976863e-03    5.941615e-03    1.873639e-05
          15    5.861577e-03    5.936279e-03    1.823127e-05
          16    5.981118e-03    5.939082e-03    1.730586e-05
          17    6.009709e-03    5.943236e-03    1.677914e-05
          18    5.980415e-03    5.945302e-03    1.597358e-05
          19    5.881216e-03    5.941929e-03    1.548488e-05
          20    5.841671e-03    5.936916e-03    1.550082e-05
          21    5.978069e-03    5.938876e-03    1.488604e-05
          22    5.879931e-03    5.936196e-03    1.444851e-05
          23    5.951532e-03    5.936863e-03    1.383569e-05
          24    5.738969e-03    5.928618e-03    1.552300e-05
          25    5.954413e-03    5.929649e-03    1.493633e-05
          26    6.005398e-03    5.932563e-03    1.464324e-05
          27    5.899857e-03    5.931351e-03    1.415091e-05
          28    6.004550e-03    5.933966e-03    1.388490e-05
          29    5.832193e-03    5.930456e-03    1.384251e-05
          30    5.911275e-03    5.929817e-03    1.339585e-05
