#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    5.052000e-03    5.052000e-03    0.000000e+00
           2    2.500000e-03    3.776000e-03    9.022683e-04
           3    4.618000e-03    4.056667e-03    6.436868e-04
           4   -5.440000e-04    2.906500e-03    1.106899e-03
           5   -5.320000e-04    2.218800e-03    1.078188e-03
           6   -7.968000e-03    5.210000e-04    1.791476e-03
           7   -2.000000e-06    4.462857e-04    1.537108e-03
           8    4.740000e-03    9.830000e-04    1.435618e-03
           9    5.212000e-03    1.452889e-03    1.350817e-03
          10    9.700000e-04    1.404600e-03    1.216598e-03
          11   -2.046000e-03    1.090909e-03    1.145726e-03
          12   -1.050000e-03    9.125000e-04    1.064049e-03
          13    5.310000e-03    1.250769e-03    1.034572e-03
          14    2.478000e-03    1.338429e-03    9.643804e-04
          15   -2.654000e-03    1.072267e-03    9.360974e-04
          16    9.430000e-03    1.594625e-03    1.012902e-03
          17    4.000000e-06    1.501059e-03    9.576317e-04
          18    1.450000e-03    1.498222e-03    9.044341e-04
          19   -6.140000e-04    1.387053e-03    8.636375e-04
          20   -5.186000e-03    1.058400e-03    8.807721e-04
          21   -8.486000e-03    6.039048e-04    9.488762e-04
          22   -1.231600e-02    1.663636e-05    1.072186e-03
          23    4.190000e-03    1.980870e-04    1.040810e-03
          24    7.876000e-03    5.180000e-04    1.045453e-03
          25   -3.720000e-04    4.824000e-04    1.004241e-03
