#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.353140e+00    1.353140e+00    0.000000e+00
           2    1.344074e+00    1.348607e+00    3.205315e-03
           3    1.347056e+00    1.348090e+00    2.178172e-03
           4    1.334164e+00    1.344609e+00    3.429195e-03
           5    1.327416e+00    1.341170e+00    4.121241e-03
           6    1.342706e+00    1.341426e+00    3.442309e-03
           7    1.341864e+00    1.341489e+00    2.951119e-03
           8    1.340472e+00    1.341362e+00    2.584964e-03
           9    1.374292e+00    1.345020e+00    4.144872e-03
          10    1.345450e+00    1.345063e+00    3.730608e-03
          11    1.372178e+00    1.347528e+00    4.126220e-03
          12    1.377220e+00    1.350003e+00    4.462993e-03
          13    1.317858e+00    1.347530e+00    4.755584e-03
          14    1.347486e+00    1.347527e+00    4.415900e-03
          15    1.339876e+00    1.347017e+00    4.150859e-03
          16    1.363668e+00    1.348058e+00    4.019776e-03
          17    1.359110e+00    1.348708e+00    3.835534e-03
          18    1.386648e+00    1.350815e+00    4.161505e-03
          19    1.329798e+00    1.349709e+00    4.086854e-03
          20    1.347698e+00    1.349609e+00    3.883748e-03
          21    1.333694e+00    1.348851e+00    3.772023e-03
          22    1.344814e+00    1.348667e+00    3.605027e-03
          23    1.405922e+00    1.351157e+00    4.221141e-03
          24    1.351248e+00    1.351161e+00    4.045262e-03
          25    1.375632e+00    1.352139e+00    4.000129e-03
