#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    8.714000e-02    8.714000e-02    0.000000e+00
           2    1.527920e-01    1.199660e-01    2.321149e-02
           3    3.329200e-02    9.107467e-02    2.821219e-02
           4   -8.981000e-02    4.585350e-02    4.451320e-02
           5    1.213880e-01    6.096040e-02    3.808788e-02
           6    3.181480e-01    1.038250e-01    5.038419e-02
           7    1.603800e-02    9.128400e-02    4.471999e-02
           8   -2.340000e-04    7.984425e-02    4.056681e-02
           9    2.595000e-02    7.385600e-02    3.649868e-02
          10    3.903720e-01    1.055076e-01    4.450490e-02
          11    3.992220e-01    1.322089e-01    4.780247e-02
          12    1.121560e-01    1.305378e-01    4.384813e-02
          13   -2.830000e-02    1.183195e-01    4.214314e-02
          14    1.047780e-01    1.173523e-01    3.914402e-02
          15   -4.231000e-02    1.067081e-01    3.795403e-02
          16   -1.869840e-01    8.835238e-02    3.977370e-02
          17   -1.595000e-01    7.377282e-02    4.001711e-02
          18    7.885200e-02    7.405500e-02    3.779493e-02
          19    4.204600e-01    9.228684e-02    3.996193e-02
          20   -1.035880e-01    8.249310e-02    3.914555e-02
          21    4.222500e-01    9.867200e-02    4.048704e-02
          22    3.423560e-01    1.097485e-01    4.013330e-02
          23   -1.375440e-01    9.899670e-02    3.980256e-02
          24    1.194140e-01    9.984742e-02    3.815321e-02
          25    6.229960e-01    1.207734e-01    4.197526e-02
