#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    6.800457e-03    6.800457e-03    0.000000e+00
           2    6.522430e-03    6.661444e-03    9.829714e-05
           3    7.355916e-03    6.892934e-03    2.000493e-04
           4    7.012511e-03    6.922828e-03    1.522542e-04
           5    6.487470e-03    6.835757e-03    1.445726e-04
           6    6.789598e-03    6.828064e-03    1.206817e-04
           7    7.431614e-03    6.914285e-03    1.306609e-04
           8    6.225690e-03    6.828211e-03    1.398344e-04
           9    6.569429e-03    6.799457e-03    1.272191e-04
          10    5.698805e-03    6.689392e-03    1.549598e-04
          11    5.718266e-03    6.601108e-03    1.641055e-04
          12    6.561534e-03    6.597810e-03    1.504632e-04
          13    6.815620e-03    6.614565e-03    1.398188e-04
          14    6.740203e-03    6.623539e-03    1.301195e-04
          15    6.015283e-03    6.582988e-03    1.276070e-04
          16    5.558322e-03    6.518947e-03    1.347469e-04
          17    5.307222e-03    6.447669e-03    1.444477e-04
          18    7.335106e-03    6.496971e-03    1.445920e-04
          19    6.333299e-03    6.488357e-03    1.372383e-04
          20    7.376506e-03    6.532764e-03    1.373733e-04
          21    6.344780e-03    6.523812e-03    1.311230e-04
          22    6.729507e-03    6.533162e-03    1.254958e-04
          23    6.872668e-03    6.547923e-03    1.209045e-04
          24    5.875578e-03    6.519909e-03    1.190681e-04
          25    7.702784e-03    6.567224e-03    1.233486e-04
