#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    7.843896e+01    7.843896e+01    0.000000e+00
           2    7.921613e+01    7.882754e+01    2.747704e-01
           3    7.515366e+01    7.760292e+01    1.016544e+00
           4    7.584521e+01    7.716349e+01    8.521082e-01
           5    8.012141e+01    7.775507e+01    8.629447e-01
           6    7.704269e+01    7.763634e+01    7.272427e-01
           7    7.325526e+01    7.701047e+01    8.510699e-01
           8    8.106897e+01    7.751779e+01    8.830358e-01
           9    8.092527e+01    7.789639e+01    8.622752e-01
          10    8.321314e+01    7.842807e+01    9.255591e-01
          11    8.379271e+01    7.891576e+01    9.613569e-01
          12    7.898366e+01    7.892142e+01    8.812604e-01
          13    7.748771e+01    7.881114e+01    8.203430e-01
          14    7.505801e+01    7.854306e+01    8.043584e-01
          15    8.392962e+01    7.890216e+01    8.270195e-01
          16    8.356397e+01    7.919352e+01    8.250603e-01
          17    8.480998e+01    7.952390e+01    8.400744e-01
          18    7.179338e+01    7.909443e+01    8.964875e-01
          19    8.032424e+01    7.915916e+01    8.516374e-01
          20    7.644598e+01    7.902350e+01    8.197890e-01
          21    7.995865e+01    7.906803e+01    7.819599e-01
          22    7.837050e+01    7.903632e+01    7.470588e-01
          23    7.877848e+01    7.902511e+01    7.146621e-01
          24    8.321439e+01    7.919967e+01    7.058797e-01
          25    7.387771e+01    7.898679e+01    7.090180e-01
