#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -9.732320e-01   -9.732320e-01    0.000000e+00
           2   -9.741800e-01   -9.737060e-01    3.351686e-04
           3   -9.692120e-01   -9.722080e-01    1.243355e-03
           4   -9.708440e-01   -9.718670e-01    9.781599e-04
           5   -9.751120e-01   -9.725160e-01    9.743258e-04
           6   -9.730920e-01   -9.726120e-01    8.166539e-04
           7   -9.685800e-01   -9.720360e-01    8.799796e-04
           8   -9.757600e-01   -9.725015e-01    8.845770e-04
           9   -9.758960e-01   -9.728787e-01    8.629610e-04
          10   -9.788960e-01   -9.734804e-01    9.638895e-04
          11   -9.784400e-01   -9.739313e-01    9.760343e-04
          12   -9.744200e-01   -9.739720e-01    8.955474e-04
          13   -9.721760e-01   -9.738338e-01    8.372476e-04
          14   -9.705560e-01   -9.735997e-01    8.095194e-04
          15   -9.791880e-01   -9.739723e-01    8.368992e-04
          16   -9.788600e-01   -9.742777e-01    8.384949e-04
          17   -9.806280e-01   -9.746513e-01    8.684004e-04
          18   -9.666320e-01   -9.742058e-01    9.274231e-04
          19   -9.755960e-01   -9.742789e-01    8.814930e-04
          20   -9.708680e-01   -9.741084e-01    8.537573e-04
          21   -9.752120e-01   -9.741610e-01    8.147180e-04
          22   -9.735360e-01   -9.741325e-01    7.781805e-04
          23   -9.730320e-01   -9.740847e-01    7.458162e-04
          24   -9.778680e-01   -9.742423e-01    7.312101e-04
          25   -9.680040e-01   -9.739928e-01    7.433213e-04
