#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    9.263680e-01    9.263680e-01    0.000000e+00
           2    9.145400e-01    9.204540e-01    4.181830e-03
           3    8.224600e-01    8.877893e-01    2.681590e-02
           4    8.563560e-01    8.799310e-01    2.123216e-02
           5    8.345780e-01    8.708604e-01    1.882380e-02
           6    8.543660e-01    8.681113e-01    1.588597e-02
           7    8.604500e-01    8.670169e-01    1.365420e-02
           8    8.964480e-01    8.706957e-01    1.243316e-02
           9    9.223980e-01    8.764404e-01    1.230751e-02
          10    9.033520e-01    8.791316e-01    1.136717e-02
          11    8.982220e-01    8.808671e-01    1.046544e-02
          12    9.280420e-01    8.847983e-01    1.030527e-02
          13    9.012740e-01    8.860657e-01    9.590168e-03
          14    9.384820e-01    8.898097e-01    9.608238e-03
          15    8.726180e-01    8.886636e-01    9.035787e-03
          16    9.420060e-01    8.919975e-01    9.065258e-03
          17    9.387720e-01    8.947489e-01    8.939813e-03
          18    8.368060e-01    8.915299e-01    9.004083e-03
          19    9.528240e-01    8.947559e-01    9.089742e-03
          20    9.109240e-01    8.955643e-01    8.671129e-03
          21    9.436680e-01    8.978550e-01    8.555430e-03
          22    8.984300e-01    8.978811e-01    8.166587e-03
          23    9.273980e-01    8.991644e-01    7.911711e-03
          24    9.571500e-01    9.015805e-01    7.942401e-03
          25    8.325300e-01    8.988185e-01    8.090719e-03
          26    7.073900e-01    8.914558e-01    1.061342e-02
          27    9.307640e-01    8.929117e-01    1.031970e-02
          28    9.301560e-01    8.942419e-01    1.003649e-02
          29    9.170940e-01    8.950299e-01    9.721294e-03
          30    9.162980e-01    8.957388e-01    9.423065e-03
