#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    5.573430e-03    5.573430e-03    0.000000e+00
           2    5.070043e-03    5.321737e-03    1.779742e-04
           3    6.700117e-03    5.781197e-03    3.934634e-04
           4    5.307905e-03    5.662874e-03    3.123825e-04
           5    6.462334e-03    5.822766e-03    2.879330e-04
           6    5.384763e-03    5.749765e-03    2.490263e-04
           7    5.960653e-03    5.779892e-03    2.152657e-04
           8    6.221687e-03    5.835117e-03    1.953127e-04
           9    4.599023e-03    5.697773e-03    2.165832e-04
          10    5.802621e-03    5.708258e-03    1.951785e-04
          11    5.204684e-03    5.662478e-03    1.827249e-04
          12    4.958010e-03    5.603773e-03    1.766768e-04
          13    5.693241e-03    5.610655e-03    1.632203e-04
          14    4.316532e-03    5.518217e-03    1.757990e-04
          15    6.031285e-03    5.552422e-03    1.673735e-04
          16    4.063657e-03    5.459374e-03    1.809374e-04
          17    4.221396e-03    5.386552e-03    1.843670e-04
          18    6.007016e-03    5.421022e-03    1.773175e-04
          19    3.569365e-03    5.323566e-03    1.929163e-04
          20    5.468633e-03    5.330820e-03    1.834068e-04
          21    4.266547e-03    5.280140e-03    1.815401e-04
          22    4.401663e-03    5.240209e-03    1.776255e-04
          23    4.778728e-03    5.220145e-03    1.710321e-04
          24    3.969238e-03    5.168024e-03    1.716640e-04
          25    6.834544e-03    5.234685e-03    1.772685e-04
          26    7.080245e-03    5.305668e-03    1.841146e-04
          27    4.674055e-03    5.282275e-03    1.787755e-04
          28    4.986673e-03    5.271717e-03    1.727021e-04
          29    5.405151e-03    5.276319e-03    1.668081e-04
          30    5.348897e-03    5.278738e-03    1.612654e-04
