#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    9.074981e+01    9.074981e+01    0.000000e+00
           2    8.967326e+01    9.021154e+01    3.806158e-01
           3    8.712154e+01    8.918154e+01    8.784376e-01
           4    9.011253e+01    8.941428e+01    6.889727e-01
           5    8.753740e+01    8.903891e+01    6.453863e-01
           6    9.059754e+01    8.929868e+01    5.877817e-01
           7    8.802450e+01    8.911665e+01    5.312507e-01
           8    8.691677e+01    8.884167e+01    5.312677e-01
           9    9.246161e+01    8.924388e+01    6.056490e-01
          10    8.867667e+01    8.918716e+01    5.477337e-01
          11    9.022551e+01    8.928156e+01    5.060083e-01
          12    9.038209e+01    8.937327e+01    4.720788e-01
          13    8.877294e+01    8.932709e+01    4.380179e-01
          14    9.174038e+01    8.949947e+01    4.393423e-01
          15    9.017422e+01    8.954445e+01    4.123492e-01
          16    9.309407e+01    8.976630e+01    4.422488e-01
          17    9.189504e+01    8.989152e+01    4.335995e-01
          18    9.026009e+01    8.991200e+01    4.099938e-01
          19    9.354832e+01    9.010338e+01    4.307748e-01
          20    8.934181e+01    9.006530e+01    4.109156e-01
          21    9.222675e+01    9.016823e+01    4.040331e-01
          22    9.301217e+01    9.029750e+01    4.058212e-01
          23    9.152185e+01    9.035073e+01    3.916526e-01
          24    9.383316e+01    9.049583e+01    4.013135e-01
          25    8.424570e+01    9.024583e+01    4.565397e-01
          26    8.506110e+01    9.004642e+01    4.805620e-01
          27    9.148843e+01    9.009982e+01    4.657218e-01
          28    9.200698e+01    9.016794e+01    4.540423e-01
          29    8.855206e+01    9.011222e+01    4.417914e-01
          30    8.984572e+01    9.010333e+01    4.271543e-01
