#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -1.004091e+00   -1.004091e+00    0.000000e+00
           2   -1.003403e+00   -1.003747e+00    2.434427e-04
           3   -9.980492e-01   -1.001848e+00    1.559236e-03
           4   -1.003287e+00   -1.002208e+00    1.210235e-03
           5   -9.990436e-01   -1.001575e+00    1.121494e-03
           6   -1.003475e+00   -1.001892e+00    9.782877e-04
           7   -1.000045e+00   -1.001628e+00    8.733744e-04
           8   -9.997690e-01   -1.001395e+00    7.945087e-04
           9   -1.006360e+00   -1.001947e+00    8.770588e-04
          10   -1.002555e+00   -1.002008e+00    7.914576e-04
          11   -1.003388e+00   -1.002133e+00    7.293907e-04
          12   -1.004325e+00   -1.002316e+00    6.910929e-04
          13   -1.001629e+00   -1.002263e+00    6.399462e-04
          14   -1.006478e+00   -1.002564e+00    6.612600e-04
          15   -1.002604e+00   -1.002567e+00    6.171814e-04
          16   -1.007924e+00   -1.002902e+00    6.632418e-04
          17   -1.006519e+00   -1.003115e+00    6.574827e-04
          18   -1.001768e+00   -1.003040e+00    6.251962e-04
          19   -1.009208e+00   -1.003364e+00    6.713217e-04
          20   -1.003134e+00   -1.003353e+00    6.378540e-04
          21   -1.006873e+00   -1.003521e+00    6.291243e-04
          22   -1.005997e+00   -1.003633e+00    6.105121e-04
          23   -1.005168e+00   -1.003700e+00    5.876041e-04
          24   -1.008287e+00   -1.003891e+00    5.933923e-04
          25   -9.969066e-01   -1.003612e+00    6.320097e-04
          26   -9.950438e-01   -1.003282e+00    6.882692e-04
          27   -1.006047e+00   -1.003384e+00    6.703544e-04
          28   -1.005975e+00   -1.003477e+00    6.527671e-04
          29   -1.001858e+00   -1.003421e+00    6.326410e-04
          30   -1.003762e+00   -1.003433e+00    6.116549e-04
