#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.992995e+02    1.992995e+02    0.000000e+00
           2    2.000000e+02    1.996498e+02    2.476627e-01
           3    1.999871e+02    1.997622e+02    1.889225e-01
           4    2.000000e+02    1.998217e+02    1.507552e-01
           5    2.000000e+02    1.998573e+02    1.247525e-01
           6    2.000000e+02    1.998811e+02    1.062025e-01
           7    2.000000e+02    1.998981e+02    9.237896e-02
           8    2.000000e+02    1.999108e+02    8.170520e-02
           9    2.000000e+02    1.999207e+02    7.322513e-02
          10    2.000000e+02    1.999287e+02    6.633024e-02
          11    2.000000e+02    1.999351e+02    6.061642e-02
          12    2.000000e+02    1.999406e+02    5.580545e-02
          13    2.000000e+02    1.999451e+02    5.169975e-02
          14    2.000000e+02    1.999490e+02    4.815526e-02
          15    1.999977e+02    1.999523e+02    4.505394e-02
          16    2.000000e+02    1.999553e+02    4.233664e-02
          17    2.000000e+02    1.999579e+02    3.992793e-02
          18    2.000000e+02    1.999602e+02    3.777815e-02
          19    2.000000e+02    1.999623e+02    3.584774e-02
          20    2.000000e+02    1.999642e+02    3.410480e-02
          21    2.000000e+02    1.999659e+02    3.252330e-02
          22    2.000000e+02    1.999675e+02    3.108184e-02
          23    2.000000e+02    1.999689e+02    2.976262e-02
          24    2.000000e+02    1.999702e+02    2.855074e-02
          25    2.000000e+02    1.999714e+02    2.743362e-02
