#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -8.933726e-01   -8.933726e-01    0.000000e+00
           2   -8.847443e-01   -8.890584e-01    3.050558e-03
           3   -8.836354e-01   -8.872507e-01    2.512856e-03
           4   -8.923375e-01   -8.885224e-01    2.182839e-03
           5   -8.885665e-01   -8.885312e-01    1.746289e-03
           6   -8.912126e-01   -8.889781e-01    1.511339e-03
           7   -8.854373e-01   -8.884723e-01    1.377485e-03
           8   -8.887977e-01   -8.885130e-01    1.205900e-03
           9   -8.865304e-01   -8.882927e-01    1.091847e-03
          10   -8.846794e-01   -8.879314e-01    1.040734e-03
          11   -8.854013e-01   -8.877013e-01    9.712046e-04
          12   -8.869768e-01   -8.876410e-01    8.921455e-04
          13   -8.825116e-01   -8.872464e-01    9.065821e-04
          14   -8.800755e-01   -8.867342e-01    9.758533e-04
          15   -8.828170e-01   -8.864731e-01    9.450925e-04
          16   -8.863651e-01   -8.864663e-01    8.860483e-04
          17   -8.850842e-01   -8.863850e-01    8.376496e-04
          18   -8.874749e-01   -8.864456e-01    7.932988e-04
          19   -8.910852e-01   -8.866897e-01    7.882348e-04
          20   -8.829748e-01   -8.865040e-01    7.703974e-04
          21   -8.878745e-01   -8.865693e-01    7.364710e-04
          22   -8.893234e-01   -8.866945e-01    7.135553e-04
          23   -8.858116e-01   -8.866561e-01    6.835629e-04
          24   -8.914990e-01   -8.868579e-01    6.842174e-04
          25   -8.852039e-01   -8.867917e-01    6.600394e-04
          26   -8.849642e-01   -8.867214e-01    6.383850e-04
          27   -8.879434e-01   -8.867667e-01    6.163432e-04
          28   -8.872090e-01   -8.867825e-01    5.945334e-04
          29   -8.882397e-01   -8.868327e-01    5.761519e-04
          30   -8.824265e-01   -8.866858e-01    5.753628e-04
