#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    8.824795e-03    8.824795e-03    0.000000e+00
           2    8.649124e-03    8.736959e-03    6.210908e-05
           3    8.701433e-03    8.725117e-03    4.252001e-05
           4    8.914464e-03    8.772454e-03    5.193783e-05
           5    8.826451e-03    8.783253e-03    4.265826e-05
           6    8.671302e-03    8.764595e-03    3.941850e-05
           7    8.850856e-03    8.776918e-03    3.566152e-05
           8    8.696191e-03    8.766827e-03    3.260024e-05
           9    8.879852e-03    8.779385e-03    3.130354e-05
          10    8.357294e-03    8.737176e-03    4.896098e-05
          11    8.970704e-03    8.758406e-03    4.889654e-05
          12    8.799417e-03    8.761824e-03    4.494110e-05
          13    8.579257e-03    8.747780e-03    4.362318e-05
          14    8.848454e-03    8.754971e-03    4.109566e-05
          15    8.821215e-03    8.759387e-03    3.859252e-05
          16    8.831525e-03    8.763896e-03    3.644290e-05
          17    8.758212e-03    8.763562e-03    3.430073e-05
          18    8.946787e-03    8.773741e-03    3.387188e-05
          19    8.627659e-03    8.766052e-03    3.295020e-05
          20    9.114091e-03    8.783454e-03    3.560258e-05
          21    8.541966e-03    8.771955e-03    3.571609e-05
          22    8.834154e-03    8.774782e-03    3.420435e-05
          23    9.176540e-03    8.792250e-03    3.690895e-05
          24    8.941667e-03    8.798475e-03    3.589231e-05
          25    9.039142e-03    8.808102e-03    3.572428e-05
          26    8.770489e-03    8.806655e-03    3.437955e-05
          27    8.603199e-03    8.799120e-03    3.392200e-05
          28    8.506445e-03    8.788667e-03    3.428314e-05
          29    8.801115e-03    8.789097e-03    3.310365e-05
          30    8.783122e-03    8.788897e-03    3.200080e-05
