#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.841720e-01   -5.841720e-01    0.000000e+00
           2   -5.814360e-01   -5.828040e-01    9.673221e-04
           3   -5.825280e-01   -5.827120e-01    6.492416e-04
           4   -5.851240e-01   -5.833150e-01    7.140089e-04
           5   -5.829040e-01   -5.832328e-01    5.759193e-04
           6   -5.827720e-01   -5.831560e-01    4.850265e-04
           7   -5.841600e-01   -5.832994e-01    4.364289e-04
           8   -5.822160e-01   -5.831640e-01    4.023394e-04
           9   -5.812320e-01   -5.829493e-01    4.109311e-04
          10   -5.838000e-01   -5.830344e-01    3.785404e-04
          11   -5.827320e-01   -5.830069e-01    3.451245e-04
          12   -5.832240e-01   -5.830250e-01    3.168379e-04
          13   -5.809560e-01   -5.828658e-01    3.300268e-04
          14   -5.833400e-01   -5.828997e-01    3.081864e-04
          15   -5.814320e-01   -5.828019e-01    3.027755e-04
          16   -5.824240e-01   -5.827783e-01    2.847716e-04
          17   -5.810800e-01   -5.826784e-01    2.850040e-04
          18   -5.843640e-01   -5.827720e-01    2.841396e-04
          19   -5.829200e-01   -5.827798e-01    2.692916e-04
          20   -5.802440e-01   -5.826530e-01    2.841114e-04
          21   -5.830360e-01   -5.826712e-01    2.711670e-04
          22   -5.841800e-01   -5.827398e-01    2.673728e-04
          23   -5.826480e-01   -5.827358e-01    2.557777e-04
          24   -5.834400e-01   -5.827652e-01    2.467974e-04
          25   -5.829200e-01   -5.827714e-01    2.370032e-04
