#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.854683e+00    1.854683e+00    0.000000e+00
           2    1.821029e+00    1.837856e+00    1.189879e-02
           3    1.801102e+00    1.825605e+00    1.276675e-02
           4    1.867904e+00    1.836179e+00    1.324962e-02
           5    1.798549e+00    1.828653e+00    1.255660e-02
           6    1.849104e+00    1.832062e+00    1.091665e-02
           7    1.868352e+00    1.837246e+00    1.051634e-02
           8    1.816581e+00    1.834663e+00    9.513770e-03
           9    1.835648e+00    1.834772e+00    8.457314e-03
          10    1.786082e+00    1.829903e+00    8.903520e-03
          11    1.793657e+00    1.826608e+00    8.682469e-03
          12    1.779792e+00    1.822707e+00    8.791855e-03
          13    1.781915e+00    1.819569e+00    8.657409e-03
          14    1.857710e+00    1.822293e+00    8.456815e-03
          15    1.807406e+00    1.821301e+00    7.951056e-03
          16    1.841442e+00    1.822560e+00    7.553110e-03
          17    1.808846e+00    1.821753e+00    7.151759e-03
          18    1.791632e+00    1.820080e+00    6.947454e-03
          19    1.832562e+00    1.820737e+00    6.612789e-03
          20    1.804293e+00    1.819914e+00    6.333057e-03
          21    1.832114e+00    1.820495e+00    6.058070e-03
          22    1.798018e+00    1.819474e+00    5.868224e-03
          23    1.764085e+00    1.817065e+00    6.087207e-03
          24    1.832869e+00    1.817724e+00    5.869079e-03
          25    1.824601e+00    1.817999e+00    5.640759e-03
          26    1.789938e+00    1.816920e+00    5.526090e-03
          27    1.816469e+00    1.816903e+00    5.321446e-03
          28    1.840830e+00    1.817758e+00    5.199552e-03
          29    1.862729e+00    1.819308e+00    5.246414e-03
          30    1.829054e+00    1.819633e+00    5.081581e-03
