#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.026535e-03    4.026535e-03    0.000000e+00
           2    4.013755e-03    4.020145e-03    4.518514e-06
           3    3.982990e-03    4.007760e-03    1.055143e-05
           4    3.888452e-03    3.977933e-03    2.701589e-05
           5    3.929771e-03    3.968301e-03    2.326662e-05
           6    3.903153e-03    3.957443e-03    2.177555e-05
           7    3.936507e-03    3.954452e-03    1.886902e-05
           8    4.018973e-03    3.962517e-03    1.815237e-05
           9    3.947119e-03    3.960806e-03    1.621586e-05
          10    3.919130e-03    3.956639e-03    1.512035e-05
          11    3.849520e-03    3.946900e-03    1.658780e-05
          12    3.945526e-03    3.946786e-03    1.520588e-05
          13    3.955663e-03    3.947469e-03    1.405152e-05
          14    3.930062e-03    3.946225e-03    1.310273e-05
          15    3.895764e-03    3.942861e-03    1.265370e-05
          16    3.972991e-03    3.944745e-03    1.200215e-05
          17    3.954062e-03    3.945293e-03    1.130865e-05
          18    3.903072e-03    3.942947e-03    1.092094e-05
          19    3.878739e-03    3.939568e-03    1.085643e-05
          20    3.960497e-03    3.940614e-03    1.036392e-05
          21    3.945589e-03    3.940851e-03    9.873106e-06
          22    3.980703e-03    3.942663e-03    9.589064e-06
          23    3.911507e-03    3.941308e-03    9.267332e-06
          24    3.934099e-03    3.941008e-03    8.886059e-06
          25    3.941051e-03    3.941009e-03    8.530617e-06
