#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.130000e-03    1.130000e-03    0.000000e+00
           2    2.742000e-03    1.936000e-03    5.699281e-04
           3    4.800000e-05    1.306667e-03    6.390648e-04
           4    2.124000e-03    1.511000e-03    5.109220e-04
           5    4.344000e-03    2.077600e-03    6.510721e-04
           6   -7.038000e-03    5.583333e-04    1.489244e-03
           7   -1.836000e-03    2.162857e-04    1.315189e-03
           8    2.060000e-04    2.150000e-04    1.150791e-03
           9   -4.742000e-03   -3.357778e-04    1.147182e-03
          10   -2.206000e-03   -5.228000e-04    1.047598e-03
          11    4.200000e-05   -4.714545e-04    9.536188e-04
          12    2.968000e-03   -1.848333e-04    9.162123e-04
          13   -4.476000e-03   -5.149231e-04    9.032411e-04
          14    5.504000e-03   -8.500000e-05    9.354620e-04
          15   -2.128000e-03   -2.212000e-04    8.829573e-04
          16   -2.104000e-03   -3.388750e-04    8.355772e-04
          17   -6.740000e-04   -3.585882e-04    7.866581e-04
          18    1.898000e-03   -2.332222e-04    7.528781e-04
          19   -3.282000e-03   -3.936842e-04    7.301525e-04
          20   -3.706000e-03   -5.593000e-04    7.121800e-04
          21   -5.968000e-03   -8.168571e-04    7.233412e-04
          22   -3.960000e-04   -7.977273e-04    6.907150e-04
          23   -3.748000e-03   -9.260000e-04    6.724892e-04
          24   -3.980000e-03   -1.053250e-03    6.563977e-04
          25   -4.572000e-03   -1.194000e-03    6.450557e-04
