#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    2.269000e-02    2.269000e-02    0.000000e+00
           2    1.553600e-02    1.911300e-02    2.529321e-03
           3    2.348400e-02    2.057000e-02    2.063626e-03
           4    1.798400e-02    1.992350e-02    1.645876e-03
           5    1.572600e-02    1.908400e-02    1.515753e-03
           6    1.809200e-02    1.891867e-02    1.272113e-03
           7    1.811000e-02    1.880314e-02    1.095615e-03
           8    1.755600e-02    1.864725e-02    9.696909e-04
           9    1.360600e-02    1.808711e-02    1.010865e-03
          10    1.564000e-02    1.784240e-02    9.389310e-04
          11    1.461200e-02    1.754873e-02    8.983269e-04
          12    1.548600e-02    1.737683e-02    8.397512e-04
          13    1.949400e-02    1.753969e-02    7.907895e-04
          14    1.678400e-02    1.748571e-02    7.361444e-04
          15    1.816200e-02    1.753080e-02    6.884474e-04
          16    1.669800e-02    1.747875e-02    6.473841e-04
          17    2.026200e-02    1.764247e-02    6.296645e-04
          18    1.868600e-02    1.770044e-02    5.973461e-04
          19    1.851000e-02    1.774305e-02    5.674244e-04
          20    1.550800e-02    1.763130e-02    5.499477e-04
          21    1.779400e-02    1.763905e-02    5.238143e-04
          22    1.907600e-02    1.770436e-02    5.040604e-04
          23    1.882800e-02    1.775322e-02    4.845064e-04
          24    1.660000e-02    1.770517e-02    4.666952e-04
          25    1.245600e-02    1.749520e-02    4.930022e-04
          26    1.099600e-02    1.724523e-02    5.336626e-04
          27    1.955000e-02    1.733059e-02    5.206796e-04
          28    1.444200e-02    1.722743e-02    5.122021e-04
          29    1.810000e-02    1.725752e-02    4.954229e-04
          30    2.030000e-02    1.735893e-02    4.891789e-04
