# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    6.463304e-02    0.000000e+00    0.000000e+00
    1.292661e-01    0.000000e+00    0.000000e+00
    1.938991e-01    0.000000e+00    0.000000e+00
    2.585322e-01    0.000000e+00    0.000000e+00
    3.231652e-01    0.000000e+00    0.000000e+00
    3.877982e-01    0.000000e+00    0.000000e+00
    4.524313e-01    0.000000e+00    0.000000e+00
    5.170643e-01    0.000000e+00    0.000000e+00
    5.816974e-01    0.000000e+00    0.000000e+00
    6.463304e-01    0.000000e+00    0.000000e+00
    7.109634e-01    0.000000e+00    0.000000e+00
    7.755965e-01    0.000000e+00    0.000000e+00
    8.402295e-01    9.818392e-04    1.414716e-04
    9.048626e-01    1.480871e-01    1.207801e-03
    9.694956e-01    1.051813e+00    5.759391e-03
    1.034129e+00    2.036504e+00    5.521674e-03
    1.098762e+00    2.253499e+00    8.925989e-03
    1.163395e+00    2.080823e+00    5.353872e-03
    1.228028e+00    1.825148e+00    4.708200e-03
    1.292661e+00    1.605968e+00    5.694783e-03
    1.357294e+00    1.456511e+00    5.816404e-03
    1.421927e+00    1.332826e+00    2.698744e-03
    1.486560e+00    1.246236e+00    4.529797e-03
    1.551193e+00    1.190097e+00    3.315529e-03
    1.615826e+00    1.141310e+00    2.419717e-03
    1.680459e+00    1.108671e+00    1.659190e-03
    1.745092e+00    1.087231e+00    1.767405e-03
    1.809725e+00    1.072197e+00    1.120567e-03
    1.874358e+00    1.063494e+00    2.066121e-03
    1.938991e+00    1.060186e+00    2.232604e-03
    2.003624e+00    1.057508e+00    1.919612e-03
    2.068257e+00    1.052714e+00    1.392014e-03
    2.132890e+00    1.053225e+00    2.694953e-03
    2.197523e+00    1.049926e+00    1.176744e-03
    2.262156e+00    1.039281e+00    1.416860e-03
    2.326789e+00    1.034813e+00    1.861725e-03
    2.391423e+00    1.030097e+00    1.979534e-03
    2.456056e+00    1.024933e+00    1.980536e-03
    2.520689e+00    1.014802e+00    2.226649e-03
    2.585322e+00    1.014168e+00    1.576444e-03
    2.649955e+00    1.010839e+00    1.401602e-03
    2.714588e+00    1.009913e+00    1.957779e-03
    2.779221e+00    1.007559e+00    1.746093e-03
    2.843854e+00    1.003730e+00    1.925156e-03
    2.908487e+00    1.000898e+00    9.285212e-04
    2.973120e+00    9.993939e-01    1.393892e-03
    3.037753e+00    1.001678e+00    2.129907e-03
    3.102386e+00    9.964754e-01    1.705291e-03
    3.167019e+00    9.991286e-01    1.429140e-03
    3.231652e+00    9.965190e-01    1.341255e-03
    3.296285e+00    9.946004e-01    9.515291e-04
    3.360918e+00    9.934532e-01    1.844023e-03
    3.425551e+00    9.930849e-01    1.310413e-03
    3.490184e+00    9.933865e-01    1.116442e-03
    3.554817e+00    9.918324e-01    9.404168e-04
    3.619450e+00    9.897740e-01    1.147924e-03
    3.684083e+00    9.909684e-01    1.019685e-03
    3.748716e+00    9.917650e-01    1.575457e-03
    3.813349e+00    9.901530e-01    1.073200e-03
    3.877982e+00    9.887782e-01    9.973431e-04
    3.942615e+00    9.899722e-01    1.592063e-03
    4.007249e+00    9.879977e-01    9.279750e-04
    4.071882e+00    9.885089e-01    1.328793e-03
    4.136515e+00    9.905403e-01    8.390589e-04
    4.201148e+00    9.891117e-01    8.602400e-04
    4.265781e+00    9.868474e-01    8.947346e-04
    4.330414e+00    9.879861e-01    1.201832e-03
    4.395047e+00    9.880542e-01    6.806269e-04
    4.459680e+00    9.863828e-01    1.364282e-03
    4.524313e+00    9.856470e-01    1.086284e-03
    4.588946e+00    9.868566e-01    7.923448e-04
    4.653579e+00    9.867413e-01    8.853129e-04
    4.718212e+00    9.861332e-01    8.672887e-04
    4.782845e+00    9.864906e-01    8.816617e-04
    4.847478e+00    9.861070e-01    7.554631e-04
    4.912111e+00    9.868205e-01    8.068529e-04
    4.976744e+00    9.865180e-01    8.852983e-04
    5.041377e+00    9.859364e-01    8.822482e-04
    5.106010e+00    9.864348e-01    8.094802e-04
    5.170643e+00    9.855080e-01    7.986914e-04
    5.235276e+00    9.864327e-01    4.212329e-04
    5.299909e+00    9.853042e-01    6.429381e-04
    5.364542e+00    9.865126e-01    7.726684e-04
    5.429175e+00    9.848549e-01    6.267960e-04
    5.493808e+00    9.863323e-01    4.770927e-04
    5.558442e+00    9.857846e-01    6.458893e-04
    5.623075e+00    9.867451e-01    6.284180e-04
    5.687708e+00    9.868423e-01    4.482485e-04
    5.752341e+00    9.870862e-01    7.391256e-04
    5.816974e+00    9.868742e-01    5.695044e-04
    5.881607e+00    9.851762e-01    7.499697e-04
    5.946240e+00    9.843720e-01    6.135066e-04
    6.010873e+00    9.863881e-01    5.519260e-04
    6.075506e+00    9.873454e-01    7.709261e-04
    6.140139e+00    9.872532e-01    6.530070e-04
    6.204772e+00    9.856835e-01    3.599189e-04
    6.269405e+00    9.877639e-01    7.114696e-04
    6.334038e+00    9.849759e-01    6.784559e-04
    6.398671e+00    9.862308e-01    5.340664e-04
