#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.800000e+00    1.800000e+00    0.000000e+00
           2    1.800000e+00    1.800000e+00    0.000000e+00
           3    1.800000e+00    1.800000e+00    0.000000e+00
           4    1.800000e+00    1.800000e+00    0.000000e+00
           5    1.800000e+00    1.800000e+00    0.000000e+00
           6    1.800000e+00    1.800000e+00    0.000000e+00
           7    1.800000e+00    1.800000e+00    7.965006e-09
           8    1.800000e+00    1.800000e+00    7.450581e-09
           9    1.800000e+00    1.800000e+00    7.024475e-09
          10    1.800000e+00    1.800000e+00    6.664002e-09
