#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -4.138299e-01   -4.138299e-01    0.000000e+00
           2   -4.163343e-01   -4.150821e-01    8.854301e-04
           3   -4.113267e-01   -4.138303e-01    1.180293e-03
           4   -4.138164e-01   -4.138268e-01    8.852248e-04
           5   -4.094725e-01   -4.129560e-01    1.052739e-03
           6   -4.142632e-01   -4.131738e-01    8.995442e-04
           7   -4.118506e-01   -4.129848e-01    7.906504e-04
           8   -4.154931e-01   -4.132983e-01    7.514201e-04
           9   -4.095686e-01   -4.128839e-01    7.738146e-04
          10   -4.145178e-01   -4.130473e-01    7.134747e-04
