#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    4.236492e-02    4.236492e-02    0.000000e+00
           2    4.257660e-02    4.247076e-02    7.483968e-05
           3    4.246757e-02    4.246970e-02    4.990065e-05
           4    4.255453e-02    4.249090e-02    4.168916e-05
           5    4.285131e-02    4.256298e-02    7.258616e-05
           6    4.268810e-02    4.258384e-02    6.341294e-05
           7    4.251560e-02    4.257409e-02    5.509811e-05
           8    4.268721e-02    4.258823e-02    4.999252e-05
           9    4.280804e-02    4.261265e-02    5.004922e-05
          10    4.257004e-02    4.260839e-02    4.522532e-05
