#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    1.386170e+00    1.386170e+00    0.000000e+00
           2    1.383666e+00    1.384918e+00    8.854301e-04
           3    1.388673e+00    1.386170e+00    1.180293e-03
           4    1.386184e+00    1.386173e+00    8.852248e-04
           5    1.390528e+00    1.387044e+00    1.052739e-03
           6    1.385737e+00    1.386826e+00    8.995442e-04
           7    1.388149e+00    1.387015e+00    7.906504e-04
           8    1.384507e+00    1.386702e+00    7.514201e-04
           9    1.390431e+00    1.387116e+00    7.738146e-04
          10    1.385482e+00    1.386953e+00    7.134747e-04
