#   N_BLOCK:  ACCEPTANCE:
           1    6.540259e-01
           2    6.537861e-01
           3    6.545358e-01
           4    6.548708e-01
           5    6.554133e-01
           6    6.552793e-01
           7    6.553254e-01
           8    6.550731e-01
           9    6.552658e-01
          10    6.550248e-01
          11    6.549646e-01
          12    6.549381e-01
          13    6.549313e-01
          14    6.549061e-01
          15    6.547943e-01
          16    6.547566e-01
          17    6.546727e-01
          18    6.546385e-01
          19    6.546499e-01
          20    6.546329e-01
          21    6.546380e-01
          22    6.545954e-01
          23    6.545649e-01
          24    6.545284e-01
          25    6.545583e-01
          26    6.546469e-01
          27    6.546428e-01
          28    6.546806e-01
          29    6.546294e-01
          30    6.545824e-01
          31    6.545702e-01
          32    6.545251e-01
          33    6.545416e-01
          34    6.545090e-01
          35    6.545262e-01
          36    6.545118e-01
          37    6.544361e-01
          38    6.544750e-01
          39    6.544628e-01
          40    6.544732e-01
