# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    6.463304e-02    0.000000e+00    0.000000e+00
    1.292661e-01    0.000000e+00    0.000000e+00
    1.938991e-01    0.000000e+00    0.000000e+00
    2.585322e-01    0.000000e+00    0.000000e+00
    3.231652e-01    0.000000e+00    0.000000e+00
    3.877982e-01    0.000000e+00    0.000000e+00
    4.524313e-01    0.000000e+00    0.000000e+00
    5.170643e-01    0.000000e+00    0.000000e+00
    5.816974e-01    0.000000e+00    0.000000e+00
    6.463304e-01    0.000000e+00    0.000000e+00
    7.109634e-01    0.000000e+00    0.000000e+00
    7.755965e-01    0.000000e+00    0.000000e+00
    8.402295e-01    9.548985e-04    6.426955e-05
    9.048626e-01    1.475499e-01    8.078841e-04
    9.694956e-01    1.061290e+00    2.765424e-03
    1.034129e+00    2.039889e+00    4.575661e-03
    1.098762e+00    2.262944e+00    4.494234e-03
    1.163395e+00    2.082421e+00    3.664263e-03
    1.228028e+00    1.832484e+00    2.681436e-03
    1.292661e+00    1.614974e+00    2.279033e-03
    1.357294e+00    1.454701e+00    2.373904e-03
    1.421927e+00    1.333539e+00    2.189198e-03
    1.486560e+00    1.246354e+00    1.767112e-03
    1.551193e+00    1.188024e+00    1.772353e-03
    1.615826e+00    1.142894e+00    1.333333e-03
    1.680459e+00    1.111239e+00    1.339798e-03
    1.745092e+00    1.087385e+00    9.392406e-04
    1.809725e+00    1.072882e+00    1.175216e-03
    1.874358e+00    1.063673e+00    1.091561e-03
    1.938991e+00    1.059096e+00    1.174830e-03
    2.003624e+00    1.056016e+00    1.192619e-03
    2.068257e+00    1.055821e+00    1.013794e-03
    2.132890e+00    1.052278e+00    1.228448e-03
    2.197523e+00    1.048799e+00    1.004323e-03
    2.262156e+00    1.041204e+00    1.085760e-03
    2.326789e+00    1.034251e+00    8.487345e-04
    2.391423e+00    1.030680e+00    1.095726e-03
    2.456056e+00    1.025543e+00    1.139625e-03
    2.520689e+00    1.019035e+00    1.080823e-03
    2.585322e+00    1.015828e+00    1.076812e-03
    2.649955e+00    1.012888e+00    9.233557e-04
    2.714588e+00    1.008390e+00    9.182516e-04
    2.779221e+00    1.007316e+00    9.007042e-04
    2.843854e+00    1.004830e+00    7.586202e-04
    2.908487e+00    1.002503e+00    7.994189e-04
    2.973120e+00    1.000347e+00    8.730521e-04
    3.037753e+00    1.001036e+00    8.061314e-04
    3.102386e+00    9.976914e-01    7.394136e-04
    3.167019e+00    9.976173e-01    6.890244e-04
    3.231652e+00    9.967805e-01    5.896868e-04
    3.296285e+00    9.957742e-01    6.261615e-04
    3.360918e+00    9.942215e-01    8.506766e-04
    3.425551e+00    9.936181e-01    6.913553e-04
    3.490184e+00    9.937158e-01    5.985363e-04
    3.554817e+00    9.927311e-01    6.540996e-04
    3.619450e+00    9.907683e-01    5.419195e-04
    3.684083e+00    9.910424e-01    5.852299e-04
    3.748716e+00    9.906571e-01    6.932230e-04
    3.813349e+00    9.895218e-01    6.728421e-04
    3.877982e+00    9.904850e-01    4.604083e-04
    3.942615e+00    9.892283e-01    6.359701e-04
    4.007249e+00    9.891895e-01    6.669595e-04
    4.071882e+00    9.890647e-01    6.169734e-04
    4.136515e+00    9.887653e-01    5.355845e-04
    4.201148e+00    9.881770e-01    4.954589e-04
    4.265781e+00    9.878412e-01    5.942207e-04
    4.330414e+00    9.882356e-01    5.478059e-04
    4.395047e+00    9.878737e-01    5.061003e-04
    4.459680e+00    9.873300e-01    5.273690e-04
    4.524313e+00    9.867275e-01    4.628510e-04
    4.588946e+00    9.868547e-01    4.801238e-04
    4.653579e+00    9.865807e-01    4.670411e-04
    4.718212e+00    9.864196e-01    4.519803e-04
    4.782845e+00    9.868583e-01    4.585723e-04
    4.847478e+00    9.869609e-01    3.764842e-04
    4.912111e+00    9.868617e-01    5.120654e-04
    4.976744e+00    9.870196e-01    4.188011e-04
    5.041377e+00    9.860719e-01    4.915002e-04
    5.106010e+00    9.863426e-01    3.876924e-04
    5.170643e+00    9.865018e-01    3.723991e-04
    5.235276e+00    9.861639e-01    3.497973e-04
    5.299909e+00    9.860371e-01    3.944976e-04
    5.364542e+00    9.861038e-01    3.730283e-04
    5.429175e+00    9.856140e-01    3.547931e-04
    5.493808e+00    9.866450e-01    3.820812e-04
    5.558442e+00    9.862745e-01    3.920838e-04
    5.623075e+00    9.869861e-01    3.818333e-04
    5.687708e+00    9.859612e-01    4.071482e-04
    5.752341e+00    9.864123e-01    4.211099e-04
    5.816974e+00    9.861185e-01    4.253871e-04
    5.881607e+00    9.855284e-01    3.636805e-04
    5.946240e+00    9.856309e-01    3.909642e-04
    6.010873e+00    9.860880e-01    4.207550e-04
    6.075506e+00    9.864956e-01    3.753381e-04
    6.140139e+00    9.861375e-01    3.359776e-04
    6.204772e+00    9.859681e-01    2.320011e-04
    6.269405e+00    9.865073e-01    3.342716e-04
    6.334038e+00    9.855493e-01    3.436544e-04
    6.398671e+00    9.863425e-01    3.173420e-04
