#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.800000e+00    1.800000e+00    0.000000e+00
           2    1.800000e+00    1.800000e+00    0.000000e+00
           3    1.800000e+00    1.800000e+00    0.000000e+00
           4    1.800000e+00    1.800000e+00    0.000000e+00
           5    1.800000e+00    1.800000e+00    0.000000e+00
           6    1.800000e+00    1.800000e+00    0.000000e+00
           7    1.800000e+00    1.800000e+00    7.965006e-09
           8    1.800000e+00    1.800000e+00    7.450581e-09
           9    1.800000e+00    1.800000e+00    7.024475e-09
          10    1.800000e+00    1.800000e+00    6.664002e-09
          11    1.800000e+00    1.800000e+00    1.100524e-08
          12    1.800000e+00    1.800000e+00    1.053671e-08
          13    1.800000e+00    1.800000e+00    1.012335e-08
          14    1.800000e+00    1.800000e+00    1.259378e-08
          15    1.800000e+00    1.800000e+00    1.216675e-08
          16    1.800000e+00    1.800000e+00    1.178040e-08
          17    1.800000e+00    1.800000e+00    1.142867e-08
          18    1.800000e+00    1.800000e+00    8.603189e-09
          19    1.800000e+00    1.800000e+00    8.373730e-09
          20    1.800000e+00    1.800000e+00    4.712161e-09
          21    1.800000e+00    1.800000e+00    4.598598e-09
          22    1.800000e+00    1.800000e+00    6.353876e-09
          23    1.800000e+00    1.800000e+00    6.214214e-09
          24    1.800000e+00    1.800000e+00    9.618658e-09
          25    1.800000e+00    1.800000e+00    9.424322e-09
          26    1.800000e+00    1.800000e+00    1.012335e-08
          27    1.800000e+00    1.800000e+00    1.147092e-08
          28    1.800000e+00    1.800000e+00    1.194751e-08
          29    1.800000e+00    1.800000e+00    1.173971e-08
          30    1.800000e+00    1.800000e+00    1.276059e-08
          31    1.800000e+00    1.800000e+00    1.311127e-08
          32    1.800000e+00    1.800000e+00    1.290478e-08
          33    1.800000e+00    1.800000e+00    1.270775e-08
          34    1.800000e+00    1.800000e+00    1.303069e-08
          35    1.800000e+00    1.800000e+00    1.332800e-08
          36    1.800000e+00    1.800000e+00    1.266355e-08
          37    1.800000e+00    1.800000e+00    1.249125e-08
          38    1.800000e+00    1.800000e+00    1.232580e-08
          39    1.800000e+00    1.800000e+00    1.262603e-08
          40    1.800000e+00    1.800000e+00    1.246721e-08
