#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -4.138299e-01   -4.138299e-01    0.000000e+00
           2   -4.163343e-01   -4.150821e-01    8.854301e-04
           3   -4.113267e-01   -4.138303e-01    1.180293e-03
           4   -4.138164e-01   -4.138268e-01    8.852248e-04
           5   -4.094725e-01   -4.129560e-01    1.052739e-03
           6   -4.142632e-01   -4.131738e-01    8.995442e-04
           7   -4.118506e-01   -4.129848e-01    7.906504e-04
           8   -4.154931e-01   -4.132983e-01    7.514201e-04
           9   -4.095686e-01   -4.128839e-01    7.738146e-04
          10   -4.145178e-01   -4.130473e-01    7.134747e-04
          11   -4.133895e-01   -4.130784e-01    6.492914e-04
          12   -4.171533e-01   -4.134180e-01    6.781913e-04
          13   -4.128581e-01   -4.133749e-01    6.273888e-04
          14   -4.138133e-01   -4.134062e-01    5.833560e-04
          15   -4.172242e-01   -4.136608e-01    5.974192e-04
          16   -4.140310e-01   -4.136839e-01    5.605284e-04
          17   -4.148492e-01   -4.137525e-01    5.317311e-04
          18   -4.141501e-01   -4.137745e-01    5.026491e-04
          19   -4.122136e-01   -4.136924e-01    4.828609e-04
          20   -4.165191e-01   -4.138337e-01    4.789563e-04
          21   -4.125479e-01   -4.137725e-01    4.600459e-04
          22   -4.157797e-01   -4.138637e-01    4.480903e-04
          23   -4.161874e-01   -4.139648e-01    4.398501e-04
          24   -4.165720e-01   -4.140734e-01    4.347319e-04
          25   -4.101585e-01   -4.139168e-01    4.446530e-04
          26   -4.093804e-01   -4.137423e-01    4.605126e-04
          27   -4.118462e-01   -4.136721e-01    4.487793e-04
          28   -4.123844e-01   -4.136261e-01    4.351014e-04
          29   -4.156132e-01   -4.136946e-01    4.254590e-04
          30   -4.185851e-01   -4.138576e-01    4.414039e-04
          31   -4.161575e-01   -4.139318e-01    4.333548e-04
          32   -4.132928e-01   -4.139119e-01    4.202724e-04
          33   -4.121053e-01   -4.138571e-01    4.110870e-04
          34   -4.140831e-01   -4.138638e-01    3.990500e-04
          35   -4.108513e-01   -4.137777e-01    3.968221e-04
          36   -4.138513e-01   -4.137797e-01    3.858045e-04
          37   -4.175904e-01   -4.138827e-01    3.888812e-04
          38   -4.116549e-01   -4.138241e-01    3.830413e-04
          39   -4.131093e-01   -4.138058e-01    3.736580e-04
          40   -4.136269e-01   -4.138013e-01    3.643433e-04
