#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    4.236492e-02    4.236492e-02    0.000000e+00
           2    4.257660e-02    4.247076e-02    7.483968e-05
           3    4.246757e-02    4.246970e-02    4.990065e-05
           4    4.255453e-02    4.249090e-02    4.168916e-05
           5    4.285131e-02    4.256298e-02    7.258616e-05
           6    4.268810e-02    4.258384e-02    6.341294e-05
           7    4.251560e-02    4.257409e-02    5.509811e-05
           8    4.268721e-02    4.258823e-02    4.999252e-05
           9    4.280804e-02    4.261265e-02    5.004922e-05
          10    4.257004e-02    4.260839e-02    4.522532e-05
          11    4.248462e-02    4.259714e-02    4.249068e-05
          12    4.258042e-02    4.259575e-02    3.897263e-05
          13    4.273818e-02    4.260670e-02    3.748325e-05
          14    4.251323e-02    4.260003e-02    3.539546e-05
          15    4.286335e-02    4.261758e-02    3.713487e-05
          16    4.290756e-02    4.263570e-02    3.898641e-05
          17    4.271259e-02    4.264023e-02    3.695448e-05
          18    4.285159e-02    4.265197e-02    3.671960e-05
          19    4.269109e-02    4.265403e-02    3.484466e-05
          20    4.255673e-02    4.264916e-02    3.344034e-05
          21    4.291515e-02    4.266183e-02    3.416252e-05
          22    4.260999e-02    4.265947e-02    3.269082e-05
          23    4.262421e-02    4.265794e-02    3.130541e-05
          24    4.275088e-02    4.266181e-02    3.023958e-05
          25    4.237597e-02    4.265038e-02    3.111657e-05
          26    4.318708e-02    4.267102e-02    3.612349e-05
          27    4.270007e-02    4.267210e-02    3.480161e-05
          28    4.284059e-02    4.267811e-02    3.407497e-05
          29    4.259635e-02    4.267529e-02    3.301641e-05
          30    4.255368e-02    4.267124e-02    3.216376e-05
          31    4.278014e-02    4.267475e-02    3.131747e-05
          32    4.264493e-02    4.267382e-02    3.035266e-05
          33    4.272566e-02    4.267539e-02    2.947350e-05
          34    4.250714e-02    4.267044e-02    2.901911e-05
          35    4.234635e-02    4.266118e-02    2.963055e-05
          36    4.269419e-02    4.266210e-02    2.882165e-05
          37    4.239543e-02    4.265489e-02    2.892978e-05
          38    4.274065e-02    4.265715e-02    2.825636e-05
          39    4.242960e-02    4.265132e-02    2.812778e-05
          40    4.278023e-02    4.265454e-02    2.760860e-05
