#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.200000e+00    1.200000e+00    0.000000e+00
           2    1.200000e+00    1.200000e+00    0.000000e+00
           3    1.200000e+00    1.200000e+00    8.603189e-09
           4    1.200000e+00    1.200000e+00    0.000000e+00
           5    1.200000e+00    1.200000e+00    0.000000e+00
           6    1.200000e+00    1.200000e+00    6.083374e-09
           7    1.200000e+00    1.200000e+00    5.632110e-09
           8    1.200000e+00    1.200000e+00    5.268356e-09
           9    1.200000e+00    1.200000e+00    4.967054e-09
          10    1.200000e+00    1.200000e+00    4.712161e-09
          11    1.200000e+00    1.200000e+00    4.492869e-09
          12    1.200000e+00    1.200000e+00    4.301595e-09
          13    1.200000e+00    1.200000e+00    4.132839e-09
          14    1.200000e+00    1.200000e+00    3.982503e-09
          15    1.200000e+00    1.200000e+00    6.664002e-09
          16    1.200000e+00    1.200000e+00    6.452392e-09
          17    1.200000e+00    1.200000e+00    6.259740e-09
          18    1.200000e+00    1.200000e+00    8.603189e-09
          19    1.200000e+00    1.200000e+00    8.373730e-09
          20    1.200000e+00    1.200000e+00    8.161702e-09
          21    1.200000e+00    1.200000e+00    7.965006e-09
          22    1.200000e+00    1.200000e+00    8.985738e-09
          23    1.200000e+00    1.200000e+00    8.788225e-09
          24    1.200000e+00    1.200000e+00    8.603189e-09
          25    1.200000e+00    1.200000e+00    7.884953e-09
          26    1.200000e+00    1.200000e+00    7.731833e-09
          27    1.200000e+00    1.200000e+00    7.024475e-09
          28    1.200000e+00    1.200000e+00    5.632110e-09
          29    1.200000e+00    1.200000e+00    4.792717e-09
          30    1.200000e+00    1.200000e+00    4.712161e-09
          31    1.200000e+00    1.200000e+00    2.676328e-09
          32    1.200000e+00    1.200000e+00    2.634178e-09
          33    1.200000e+00    1.200000e+00    2.593959e-09
          34    1.200000e+00    1.200000e+00    5.111056e-09
          35    1.200000e+00    1.200000e+00    5.037512e-09
          36    1.200000e+00    1.200000e+00    4.967054e-09
          37    1.200000e+00    1.200000e+00    4.899472e-09
          38    1.200000e+00    1.200000e+00    6.837122e-09
          39    1.200000e+00    1.200000e+00    6.748897e-09
          40    1.200000e+00    1.200000e+00    6.664002e-09
