#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    1.386170e+00    1.386170e+00    0.000000e+00
           2    1.383666e+00    1.384918e+00    8.854301e-04
           3    1.388673e+00    1.386170e+00    1.180293e-03
           4    1.386184e+00    1.386173e+00    8.852248e-04
           5    1.390528e+00    1.387044e+00    1.052739e-03
           6    1.385737e+00    1.386826e+00    8.995442e-04
           7    1.388149e+00    1.387015e+00    7.906504e-04
           8    1.384507e+00    1.386702e+00    7.514201e-04
           9    1.390431e+00    1.387116e+00    7.738146e-04
          10    1.385482e+00    1.386953e+00    7.134747e-04
          11    1.386610e+00    1.386922e+00    6.492914e-04
          12    1.382847e+00    1.386582e+00    6.781913e-04
          13    1.387142e+00    1.386625e+00    6.273888e-04
          14    1.386187e+00    1.386594e+00    5.833560e-04
          15    1.382776e+00    1.386339e+00    5.974192e-04
          16    1.385969e+00    1.386316e+00    5.605284e-04
          17    1.385151e+00    1.386248e+00    5.317311e-04
          18    1.385850e+00    1.386225e+00    5.026491e-04
          19    1.387786e+00    1.386308e+00    4.828609e-04
          20    1.383481e+00    1.386166e+00    4.789563e-04
          21    1.387452e+00    1.386228e+00    4.600459e-04
          22    1.384220e+00    1.386136e+00    4.480903e-04
          23    1.383813e+00    1.386035e+00    4.398501e-04
          24    1.383428e+00    1.385927e+00    4.347319e-04
          25    1.389841e+00    1.386083e+00    4.446530e-04
          26    1.390620e+00    1.386258e+00    4.605126e-04
          27    1.388154e+00    1.386328e+00    4.487793e-04
          28    1.387616e+00    1.386374e+00    4.351014e-04
          29    1.384387e+00    1.386305e+00    4.254590e-04
          30    1.381415e+00    1.386142e+00    4.414039e-04
          31    1.383843e+00    1.386068e+00    4.333548e-04
          32    1.386707e+00    1.386088e+00    4.202724e-04
          33    1.387895e+00    1.386143e+00    4.110870e-04
          34    1.385917e+00    1.386136e+00    3.990500e-04
          35    1.389149e+00    1.386222e+00    3.968221e-04
          36    1.386149e+00    1.386220e+00    3.858045e-04
          37    1.382410e+00    1.386117e+00    3.888812e-04
          38    1.388345e+00    1.386176e+00    3.830413e-04
          39    1.386891e+00    1.386194e+00    3.736580e-04
          40    1.386373e+00    1.386199e+00    3.643433e-04
